area_id,time_id,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000001,2021,0.023211077570626452,5.839792266382351e-5,0.011661189030733298,0.04078881511937149,0.02912762608863819
W02000002,2021,0.019008856488100963,3.706325592487339e-5,0.008664398613806492,0.03291446001327642,0.02425006139946993
W02000003,2021,0.04445227103609308,4.847447641968474e-4,0.015774960995608645,0.10159368129619051,0.08581872030058187
W02000004,2021,0.02930942384570539,1.032406968670434e-4,0.014755738840032909,0.054685098194193205,0.039929359354160296
W02000005,2021,0.017223370045314188,4.446137098136985e-5,0.007303296272018173,0.03478128602134638,0.027477989749328205
W02000006,2021,0.025011896850515906,5.427365870556967e-5,0.013613601554530973,0.042033008581162316,0.028419407026631344
W02000007,2021,0.02707122231806765,6.952399154249715e-5,0.014498954230383113,0.045783628928402244,0.03128467469801913
W02000008,2021,0.019493954020706302,6.091467657048297e-5,0.007945535149208562,0.03861076755747811,0.030665232408269547
W02000009,2021,0.021473317749312756,4.695617808066727e-5,0.010318594357418633,0.036860293586443174,0.02654169922902454
W02000010,2021,0.033709535599520946,2.3328807980981463e-4,0.011748747319022895,0.07414747644498228,0.06239872912595938
W02000011,2021,0.026230800472666994,9.087481867731729e-5,0.010818907485579924,0.04996314027637577,0.039144232790795846
W02000012,2021,0.023774755061832242,5.504652902202162e-5,0.011007389970548127,0.04047057206131924,0.02946318209077111
W02000013,2021,0.022980495338807624,7.720118670228942e-5,0.01061587630819818,0.042811749666077425,0.03219587335787925
W02000014,2021,0.02354876501783764,4.7526413361357125e-5,0.011443925392045633,0.03989505063029133,0.028451125238245695
W02000015,2021,0.024382918430580155,1.1601267364862558e-4,0.009369451669563152,0.05163901626738462,0.04226956459782147
W02000016,2021,0.022061708579786437,6.110708489873235e-5,0.00962962535781412,0.03768246707940513,0.02805284172159101
W02000017,2021,0.022603008976827346,5.442969506121779e-5,0.010460466580697762,0.04076799592701043,0.030307529346312666
W02000018,2021,0.024042860455823392,5.194669834712694e-5,0.012489980288643534,0.039143409392761064,0.02665342910411753
W02000019,2021,0.020861675417771827,4.2189642126787695e-5,0.010182147807280224,0.035146375340057115,0.02496422753277689
W02000020,2021,0.022570113646260315,5.4456612357611573e-05,0.011482479353202119,0.039219519765870924,0.027737040412668806
W02000021,2021,0.022808846063527653,8.249257724654144e-5,0.008990028930412782,0.04276565505566698,0.0337756261252542
W02000022,2021,0.020094588846704835,5.248135380799249e-5,0.01033039905925116,0.033688108555996646,0.023357709496745486
W02000023,2021,0.019230772944084682,8.098193423378555e-5,0.00659420790827153,0.03908918743258112,0.03249497952430959
W02000024,2021,0.025340641589319698,5.864620880861303e-5,0.013844303595802089,0.04253253148436132,0.02868822788855923
W02000025,2021,0.023968917078614142,5.76962751172665e-5,0.012256834665796836,0.04005205606428227,0.027795221398485434
W02000026,2021,0.023351852213045834,4.83237086455949e-5,0.01255265298697874,0.03949263078007847,0.02693997779309973
W02000027,2021,0.019968871642515443,9.854584433665295e-5,0.005475915775251123,0.04012447468949215,0.034648558914241026
W02000028,2021,0.01957243837156782,7.202740606800735e-5,0.007007525453519223,0.04025387642163336,0.03324635096811414
W02000029,2021,0.01749894404783955,4.1067032643012417e-5,0.0071257485299936595,0.029212102079691278,0.022086353549697617
W02000030,2021,0.018770770121176516,5.7995384735287916e-5,0.007592476111954692,0.03518831859384481,0.027595842481890117
W02000031,2021,0.021100542417035968,6.318046206844748e-5,0.009318464550254715,0.04118243697409249,0.031863972423837775
W02000032,2021,0.01810590117166748,4.576449089001518e-5,0.007201296443069283,0.032707181703599875,0.025505885260530593
W02000033,2021,0.025666332798003642,6.990585532859331e-5,0.013081644352145781,0.044567583645147665,0.031485939293001884
W02000034,2021,0.023563712984218086,5.850445764711725e-5,0.012502094891654107,0.03963969857334923,0.027137603681695124
W02000035,2021,0.02325597217720068,5.66081019902518e-5,0.011637226279707492,0.041742132168923723,0.03010490588921623
W02000036,2021,0.020910201664373296,4.5055887595051705e-5,0.010366538825916928,0.036415575860404226,0.0260490370344873
W02000037,2021,0.021225331908904382,4.489328505857706e-5,0.010753408869296703,0.03733790023767456,0.026584491368377858
W02000038,2021,0.01985195765025772,5.897068520740229e-5,0.008658156092153306,0.03894026043051364,0.030282104338360337
