area_id,pop_density,age_adult_mean,female_adult_share,caraccess_adult_share,scaled_pop_density,scaled_age_adult_mean,scaled_female_adult_share,scaled_caraccess_adult_share
W02000001,62.8,53.79872910623014,0.5062767475035663,0.9042796005706134,-0.7385763534300872,0.6562949398195984,-0.7414698540956415,0.6195734354043774
W02000002,53.1,57.52071629213483,0.5122085551679824,0.9322562878648798,-0.7435072959980442,1.502527080665835,-0.2874700442487385,1.001746026571443
W02000003,2298.2,49.32469512195122,0.5185095572223566,0.7528429712073554,0.39777715341641895,-0.3609227902879013,0.19478661280564458,-1.4491106955157225
W02000004,99.2,55.722714766126565,0.5165891969866966,0.935085750921622,-0.7200726101853825,1.0937329057796734,0.04780895756957846,1.0403976087488758
W02000005,100.0,57.866020984665056,0.523094688221709,0.9223441108545035,-0.7196659345096746,1.581035660789568,0.5457165012301496,0.8663417761569033
W02000006,152.4,51.497051682275405,0.51699334652041,0.8796978960618593,-0.6930286777508141,0.13298485928334985,0.07874114921096886,0.28377764912702874
W02000007,68.5,52.10606060606061,0.5122800586510264,0.9307184750733137,-0.7356787892406691,0.2714493137878993,-0.28199741776758336,0.9807388968458624
W02000008,831.4,55.026785714285715,0.5204348701429434,0.902154217837729,-0.34786269799382313,0.9355062644718721,0.34214332922208335,0.590539868359624
W02000009,55.9,54.42075716136462,0.5101140684410647,0.9440304182509506,-0.7420839311330668,0.797719427995241,-0.4477747320510377,1.1625852950328577
W02000010,3111.9,32.98196517412935,0.5007067137809187,0.6893992932862191,0.81141715007071,-4.076610851598534,-1.167780751883629,-2.315776377884005
W02000011,1265.2,47.21250732278852,0.5214395099540582,0.8248085758039816,-0.12734281284127125,-0.841150451985318,0.41903494624918936,-0.46603213105560104
W02000012,72.3,50.10968307287863,0.5144157814871017,0.8915022761760243,-0.7337470797810571,-0.18244769054347873,-0.11853666240958036,0.445030140814133
W02000013,206.1,51.063853211009175,0.5123729138691733,0.9265298292729715,-0.6657305730189285,0.03449272284096322,-0.27489060416760014,0.923520341905445
W02000014,72.5,50.38761588245583,0.5083484573502722,0.914519056261343,-0.7336454108621301,-0.11925680225922562,-0.5829084290338207,0.7594484417732863
W02000015,1378.1,50.40181008475794,0.5226618159769593,0.8099135970895862,-0.06995070810700874,-0.11602960409819883,0.5125859737548061,-0.6695034195174554
W02000016,77.4,52.68874656907594,0.5146164410437513,0.8907200313910143,-0.7311545223484198,0.40392897191000554,-0.10317888182789085,0.43434436828968337
W02000017,63.9,52.36042125117888,0.5150130548302873,0.9130221932114883,-0.7380171743759889,0.3292808275772577,-0.07282344991627179,0.7390007016828266
W02000018,28.2,52.40652131969902,0.4994930034475766,0.8552017846278646,-0.7561650764044493,0.33976215320478637,-1.2606738953771455,-0.05084890196451484
W02000019,28.5,56.453566621803496,0.5047549378200439,0.8802121433796635,-0.7560125730260588,1.2598996064102144,-0.8579438441555304,0.2908024704676955
W02000020,46.4,56.06531963072636,0.5208451235615922,0.9241652518392756,-0.7469132047820969,1.1716276522023823,0.3735426908657337,0.8912192808346465
W02000021,101.5,53.66696415290793,0.5059974747474747,0.8702651515151515,-0.7189034176177226,0.6263368198774804,-0.7628444139826069,0.1549226354038297
W02000022,31.1,57.06888265919103,0.5151450963778861,0.9063757678457954,-0.7546908770800086,1.3997980481854548,-0.06271745172934984,0.6482079077652312
W02000023,32.9,55.85481798715203,0.5039619651347068,0.9375141498754811,-0.753775856809666,1.1237679343698892,-0.9186351997631061,1.0735704969762072
W02000024,10.2,53.699858040965324,0.5025521054870268,0.9038706933219907,-0.7653152791078747,0.6338155842904748,-1.0265409256680897,0.6139876009876922
W02000025,24.8,54.86845983787767,0.512492622467047,0.8467440487900846,-0.7578934480262074,0.8995092449626368,-0.26572852681338677,-0.1663849118763591
W02000026,25.6,58.68273525334976,0.5110630510730327,0.8747296622858094,-0.7574867723504997,1.766724065807743,-0.3751429208333463,0.21590961472590547
W02000027,1260.9,55.65333503705597,0.5106898517673888,0.7222063854047891,-0.12952869459820063,1.0779587094350203,-0.403706290278675,-1.8676185501993783
W02000028,1371.1,55.485617021276596,0.5375342465753424,0.8054794520547945,-0.07350912026945194,1.0398262902561073,1.6508697896869837,-0.7300755909018855
W02000029,679.5,58.27014303820388,0.5236479744561964,0.9315505887048493,-0.4250802419188407,1.6729169740365424,0.5880630942855903,0.9921058974976715
W02000030,2858.6,59.68804664723032,0.5334928229665071,0.8470893141945773,0.6826534642497294,1.995291970684578,1.3415533631061425,-0.16166845017067372
W02000031,784.0,54.540803382663846,0.5171803568795162,0.8898392567467925,-0.37195823177951,0.8250131734533821,0.09305426795603089,0.4223126389975071
W02000032,1649.5,56.862802446157936,0.5331045331045331,0.9077649077649078,0.06801401487686076,1.3529435881482268,1.3118350152643559,0.667184107370164
W02000033,3533.4,51.60931174089069,0.501384530182758,0.7625992246630977,1.0256843967092546,0.15850834042087159,-1.115903055411412,-1.3158364224023433
W02000034,949.8,53.64999251160701,0.5138103698917784,0.8916168631884994,-0.28767469798906947,0.6224781423392715,-0.1648727482548246,0.4465954446333843
W02000035,711.1,51.50554803788904,0.5258547612319865,0.8736931336535745,-0.4090165527283828,0.13491659328489278,0.7569628350158057,0.20175022447953936
W02000036,674.4,56.997130701494015,0.5285714285714286,0.8591534391534391,-0.4276727993514779,1.3834845012173729,0.9648870505838137,0.0031322586193330147
W02000037,310.9,51.059057730590574,0.5144271811507598,0.8857777018951681,-0.6124560595012073,0.03340242095158899,-0.11766417202791035,0.3668301965808675
W02000038,75.8,54.59489516864175,0.5243716679360244,0.9004188880426505,-0.7319678736998355,0.8373114983975479,0.6434520618342738,0.5668345784037798
W02000039,236.4,53.22652910832719,0.5182504235330356,0.8672416448482981,-0.6503277318014956,0.5261993739209939,0.17495342664514515,0.11362034092098511
W02000040,14.1,54.08188976377953,0.497643219724438,0.9592095721537346,-0.7633327351887992,0.7206744332119711,-1.4022498712134246,1.3699385287353885
W02000041,19.2,53.88010273046769,0.5081595004966653,0.913154533844189,-0.760740177756162,0.6747960718244957,-0.5973705256593497,0.7408085269619222
W02000042,3145.3,55.79571150097466,0.5287990196078431,0.8574346405228758,0.8283958595315105,1.110329465660165,0.9823060724234647,-0.02034720910418906
W02000043,809.5,53.938704028021014,0.5333488264001859,0.8298861259586335,-0.358995444616324,0.6881196806947026,1.3305323696035003,-0.39667079177431447
W02000044,2511.7,56.024096385542165,0.5342710426434472,0.8912703728510828,0.5063087243709368,1.1622551226147049,1.4011155750553517,0.4418622498604634
W02000045,3389.0,52.59465096307201,0.49648421342892596,0.7032951881979871,0.9522794372439976,0.382535366253738,-1.490956158999919,-2.1259529685161636
W02000047,3024.2,46.147710843373495,0.5369373776908023,0.7213796477495108,0.7668353291212429,-1.083242904037082,1.6051875330436487,-1.878912112893552
W02000049,122.9,52.46442617089739,0.5152919369786839,0.9204819277108434,-0.708024843292539,0.3529274178194928,-0.051478785775977906,0.8409036193889258
W02000050,210.2,52.67944757405052,0.5292213972967827,0.9057681324957167,-0.6636463601809259,0.4018147495671994,1.0146333833058603,0.6399073690423399
W02000051,165.8,55.15277190012696,0.5198440009176417,0.9070887818306951,-0.6862168601827086,0.9641505220784635,0.2969202655107325,0.6579479602339628
W02000052,269.0,50.32274368231047,0.5186136071887034,0.7853658536585366,-0.633755698016403,-0.13400616545378893,0.20275023327490138,-1.0048352840685242
