unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100075,2021,W02000007,W06000001,0.0,0.563562301416068,1,70.0,1
202100076,2021,W02000008,W06000001,0.0,1.17107141157868,1,56.0,1
202100077,2021,W02000008,W06000001,0.0,0.382013382311527,2,75.0,1
202100078,2021,W02000006,W06000001,0.0,0.780714274385786,1,58.0,1
202100079,2021,W02000006,W06000001,0.0,0.281781150708034,1,70.0,1
202100080,2021,W02000004,W06000001,0.0,1.17815484564607,1,31.0,1
202100081,2021,W02000006,W06000001,0.0,0.667798266968833,2,70.0,1
202100082,2021,W02000007,W06000001,0.0,0.764026764623054,2,85.0,1
202100083,2021,W02000007,W06000001,0.0,0.689919031597619,2,52.0,1
202100084,2021,W02000005,W06000001,0.0,1.17872336362054,2,27.0,1
202100085,2021,W02000005,W06000001,0.0,0.780714274385786,1,57.0,1
202100086,2021,W02000004,W06000001,0.0,0.303633403791252,2,59.0,1
202100087,2021,W02000009,W06000001,0.0,1.14616431126618,1,39.0,1
202100088,2021,W02000009,W06000001,0.0,0.382013382311527,2,84.0,0
202100089,2021,W02000009,W06000001,0.0,0.333899133484417,2,74.0,0
202100090,2021,W02000009,W06000001,0.0,0.717266790977486,1,67.0,1
202100091,2021,W02000006,W06000001,0.0,0.910900211373756,2,55.0,1
202100092,2021,W02000008,W06000001,0.0,0.872690843682574,2,39.0,1
202100093,2021,W02000006,W06000001,0.0,0.333899133484417,2,74.0,1
202100094,2021,W02000008,W06000001,0.0,0.563562301416068,1,70.0,1
202100095,2021,W02000005,W06000001,0.0,0.717266790977486,1,68.0,1
202100096,2021,W02000008,W06000001,0.0,0.461962854634474,2,30.0,1
202100097,2021,W02000006,W06000001,0.0,1.17107141157868,1,57.0,1
202100098,2021,W02000003,W06000001,0.0,0.485456505776178,1,43.0,1
202100099,2021,W02000002,W06000001,0.0,1.03487854739643,2,54.0,1
202100100,2021,W02000004,W06000001,0.0,0.388269856969093,2,41.0,0
202100101,2021,W02000002,W06000001,0.0,0.34495951579881,2,50.0,1
202100102,2021,W02000007,W06000001,0.0,0.382013382311527,2,83.0,0
202100103,2021,W02000006,W06000001,0.0,0.776539713938185,2,41.0,1
202100104,2021,W02000007,W06000001,0.0,0.764026764623054,2,76.0,1
202100105,2021,W02000005,W06000001,0.0,0.382013382311527,2,80.0,1
202100106,2021,W02000007,W06000001,0.0,2.70302188494413,1,26.0,1
202100107,2021,W02000007,W06000001,0.0,0.607266807582504,2,55.0,1
202100108,2021,W02000003,W06000001,0.0,1.07590018646623,1,69.0,1
202100109,2021,W02000001,W06000001,0.0,0.358633395488743,1,66.0,1
202100110,2021,W02000005,W06000001,0.0,0.717266790977486,1,68.0,1
202100111,2021,W02000002,W06000001,0.0,0.923925709268949,2,31.0,1
202100112,2021,W02000008,W06000001,0.0,0.303353597370439,1,76.0,1
202100113,2021,W02000001,W06000001,0.0,1.65491069572542,1,49.0,1
202100114,2021,W02000006,W06000001,0.0,0.606707194740879,1,77.0,1
202100115,2021,W02000020,W06000002,0.0,0.539670586556845,1,82.0,1
202100116,2021,W02000021,W06000002,0.0,1.23015067132768,1,45.0,1
202100117,2021,W02000013,W06000002,0.0,0.781628911021211,1,59.0,1
202100118,2021,W02000019,W06000002,0.0,1.04610187300629,1,43.0,1
202100119,2021,W02000015,W06000002,,0.781628911021211,1,57.0,1
202100120,2021,W02000022,W06000002,0.0,0.655377353560496,2,54.0,1
202100121,2021,W02000021,W06000002,0.0,0.312309121085233,2,73.0,1
202100122,2021,W02000019,W06000002,0.0,0.775824149207278,2,42.0,1
202100123,2021,W02000021,W06000002,0.0,2.00259590299198,2,26.0,1
202100124,2021,W02000011,W06000002,0.0,0.490382814738229,2,32.0,0
202100125,2021,W02000019,W06000002,0.0,0.909523113041301,2,35.0,1
202100126,2021,W02000022,W06000002,0.0,3.9745913082578,2,22.0,1
202100127,2021,W02000017,W06000002,0.0,0.490382814738229,2,33.0,1
202100128,2021,W02000018,W06000002,0.0,1.28979029606063,1,38.0,1
202100129,2021,W02000010,W06000002,0.0,1.33427340624829,1,30.0,1
202100130,2021,W02000010,W06000002,0.0,1.01099061289707,1,50.0,1
202100131,2021,W02000022,W06000002,0.0,0.346702322808072,1,69.0,1
202100132,2021,W02000020,W06000002,0.0,0.505495306448534,1,52.0,1
202100133,2021,W02000016,W06000002,0.0,0.909523113041301,2,35.0,1
202100134,2021,W02000010,W06000002,0.0,0.346702322808072,1,67.0,0
202100135,2021,W02000019,W06000002,0.0,0.327688676780248,2,52.0,1
202100136,2021,W02000026,W06000002,0.0,0.593064071221208,1,61.0,1
202100137,2021,W02000025,W06000002,0.0,0.269835293278422,1,94.0,1
202100138,2021,W02000021,W06000002,0.0,0.909523113041301,2,35.0,1
202100139,2021,W02000020,W06000002,0.0,0.45476155652065,2,38.0,1
202100140,2021,W02000019,W06000002,0.0,0.889596106831812,1,60.0,1
202100141,2021,W02000026,W06000002,0.0,0.667531967663993,2,27.0,1
202100142,2021,W02000011,W06000002,0.0,0.598604080293716,2,64.0,1
202100143,2021,W02000022,W06000002,0.0,0.379212393370625,2,76.0,0
202100144,2021,W02000023,W06000002,0.0,0.693404645616144,1,66.0,1
202100145,2021,W02000011,W06000002,0.0,0.337031965484922,2,68.0,1
202100146,2021,W02000013,W06000002,0.0,0.269835293278422,1,76.0,1
202100147,2021,W02000012,W06000002,0.0,0.909523113041301,2,38.0,1
202100148,2021,W02000014,W06000002,0.0,1.84522600699153,1,46.0,0
202100149,2021,W02000018,W06000002,0.0,0.47967724536999,1,74.0,1
202100150,2021,W02000018,W06000002,0.0,0.299302040146858,2,62.0,1
202100151,2021,W02000022,W06000002,0.0,0.781628911021211,1,58.0,1
202100152,2021,W02000011,W06000002,0.0,0.775824149207278,2,43.0,1
202100153,2021,W02000021,W06000002,0.0,0.775824149207278,2,43.0,1
202100154,2021,W02000015,W06000002,0.0,0.539670586556845,1,77.0,1
202100155,2021,W02000022,W06000002,0.0,0.337031965484922,2,66.0,1
202100156,2021,W02000024,W06000002,0.0,1.04010696842422,1,65.0,1
202100157,2021,W02000020,W06000002,0.0,0.667531967663993,2,26.0,1
202100158,2021,W02000026,W06000002,0.0,0.909523113041301,2,36.0,1
202100159,2021,W02000015,W06000002,0.0,0.693404645616144,1,68.0,1
202100160,2021,W02000025,W06000002,0.0,0.371705020520683,2,48.0,1
202100161,2021,W02000010,W06000002,0.0,2.80614518625464,1,18.0,1
202100162,2021,W02000012,W06000002,0.0,0.387912074603639,2,44.0,1
