"area_id","pop_density","age_adult_mean","female_adult_share","caraccess_adult_share"
"W02000001","62.8","53.79872910623014","0.5062767475035663","0.9042796005706134"
"W02000002","53.1","57.52071629213483","0.5122085551679824","0.9322562878648798"
"W02000003","2298.2","49.32469512195122","0.5185095572223566","0.7528429712073554"
"W02000004","99.2","55.722714766126565","0.5165891969866966","0.935085750921622"
"W02000005","100.0","57.866020984665056","0.523094688221709","0.9223441108545035"
"W02000006","152.4","51.497051682275405","0.51699334652041","0.8796978960618593"
"W02000007","68.5","52.10606060606061","0.5122800586510264","0.9307184750733137"
"W02000008","831.4","55.026785714285715","0.5204348701429434","0.902154217837729"
"W02000009","55.9","54.42075716136462","0.5101140684410647","0.9440304182509506"
"W02000010","3111.9","32.98196517412935","0.5007067137809187","0.6893992932862191"
"W02000011","1265.2","47.21250732278852","0.5214395099540582","0.8248085758039816"
"W02000012","72.3","50.10968307287863","0.5144157814871017","0.8915022761760243"
"W02000013","206.1","51.063853211009175","0.5123729138691733","0.9265298292729715"
"W02000014","72.5","50.38761588245583","0.5083484573502722","0.914519056261343"
"W02000015","1378.1","50.40181008475794","0.5226618159769593","0.8099135970895862"
"W02000016","77.4","52.68874656907594","0.5146164410437513","0.8907200313910143"
"W02000017","63.9","52.36042125117888","0.5150130548302873","0.9130221932114883"
"W02000018","28.2","52.40652131969902","0.4994930034475766","0.8552017846278646"
"W02000019","28.5","56.453566621803496","0.5047549378200439","0.8802121433796635"
"W02000020","46.4","56.06531963072636","0.5208451235615922","0.9241652518392756"
"W02000021","101.5","53.66696415290793","0.5059974747474747","0.8702651515151515"
"W02000022","31.1","57.06888265919103","0.5151450963778861","0.9063757678457954"
"W02000023","32.9","55.85481798715203","0.5039619651347068","0.9375141498754811"
"W02000024","10.2","53.699858040965324","0.5025521054870268","0.9038706933219907"
"W02000025","24.8","54.86845983787767","0.512492622467047","0.8467440487900846"
"W02000026","25.6","58.68273525334976","0.5110630510730327","0.8747296622858094"
"W02000027","1260.9","55.65333503705597","0.5106898517673888","0.7222063854047891"
"W02000028","1371.1","55.485617021276596","0.5375342465753424","0.8054794520547945"
"W02000029","679.5","58.27014303820388","0.5236479744561964","0.9315505887048493"
"W02000030","2858.6","59.68804664723032","0.5334928229665071","0.8470893141945773"
"W02000031","784.0","54.540803382663846","0.5171803568795162","0.8898392567467925"
"W02000032","1649.5","56.862802446157936","0.5331045331045331","0.9077649077649078"
"W02000033","3533.4","51.60931174089069","0.501384530182758","0.7625992246630977"
"W02000034","949.8","53.64999251160701","0.5138103698917784","0.8916168631884994"
"W02000035","711.1","51.50554803788904","0.5258547612319865","0.8736931336535745"
"W02000036","674.4","56.997130701494015","0.5285714285714286","0.8591534391534391"
"W02000037","310.9","51.059057730590574","0.5144271811507598","0.8857777018951681"
"W02000038","75.8","54.59489516864175","0.5243716679360244","0.9004188880426505"
"W02000039","236.4","53.22652910832719","0.5182504235330356","0.8672416448482981"
"W02000040","14.1","54.08188976377953","0.497643219724438","0.9592095721537346"
"W02000041","19.2","53.88010273046769","0.5081595004966653","0.913154533844189"
"W02000042","3145.3","55.79571150097466","0.5287990196078431","0.8574346405228758"
"W02000043","809.5","53.938704028021014","0.5333488264001859","0.8298861259586335"
"W02000044","2511.7","56.024096385542165","0.5342710426434472","0.8912703728510828"
"W02000045","3389.0","52.59465096307201","0.49648421342892596","0.7032951881979871"
"W02000047","3024.2","46.147710843373495","0.5369373776908023","0.7213796477495108"
"W02000049","122.9","52.46442617089739","0.5152919369786839","0.9204819277108434"
"W02000050","210.2","52.67944757405052","0.5292213972967827","0.9057681324957167"
"W02000051","165.8","55.15277190012696","0.5198440009176417","0.9070887818306951"
"W02000052","269.0","50.32274368231047","0.5186136071887034","0.7853658536585366"
"W02000053","49.9","53.73146440427887","0.5143522110162917","0.9328937160589604"
"W02000054","38.4","54.584504437869825","0.5020511818714593","0.9583903106075405"
"W02000055","697.3","53.02358682391216","0.5203323130738959","0.8874070835155226"
"W02000056","28.4","53.1209695860965","0.504003768252473","0.9415920866698069"
"W02000057","30.1","55.815808297567955","0.5023166023166024","0.8915057915057915"
"W02000058","158.0","54.30328596802842","0.5205228158679202","0.9183673469387755"
"W02000059","183.2","51.917848055252634","0.5028100412139378","0.9093293368302735"
"W02000060","659.3","49.84673338580906","0.5110484250117536","0.8446168312176775"
"W02000061","651.1","47.99489633173844","0.5184939459280146","0.7812240835959529"
"W02000062","677.4","51.473744510215774","0.5145728643216081","0.9312562814070352"
"W02000063","70.7","54.96574585635359","0.514916810097533","0.9558232931726908"
"W02000064","581.5","47.96052112120016","0.5140546006066734","0.8198179979777553"
"W02000065","1073.9","49.62763695829926","0.507404914170313","0.9185459441265568"
"W02000066","440.6","48.907764013246656","0.506234096692112","0.8040712468193384"
"W02000067","842.9","51.555321020228675","0.5151349380014588","0.9527716994894238"
"W02000068","606.8","51.10223996451541","0.506218332565638","0.8625057577153386"
"W02000069","420.1","52.82220986281053","0.5203533026113671","0.9468125960061444"
"W02000070","949.7","52.21757877280265","0.5152034750800183","0.9458161865569273"
"W02000071","1060.1","53.89387290752479","0.5147407658420874","0.9400203320908167"
"W02000072","734.2","48.144366197183096","0.5180175420057065","0.8924231216316179"
"W02000073","1590.5","52.5476795197414","0.5235151515151515","0.8631515151515151"
"W02000074","1749.2","50.58224040428348","0.5174360260913197","0.8829653788258907"
"W02000075","361.8","51.11611329956856","0.5202859350850078","0.9613601236476044"
"W02000076","141.6","53.62204107226838","0.5117029862792575","0.9389830508474576"
"W02000077","180.8","52.908151549942595","0.5206060606060606","0.9315151515151515"
"W02000080","1169.7","49.436679174484055","0.5158616292045274","0.8871353419416547"
"W02000081","1529.9","49.75410176531672","0.5217877094972067","0.8677094972067039"
"W02000082","1633.9","48.1675527630095","0.5263418662262593","0.8705202312138728"
"W02000083","702.3","49.16993830622546","0.5145744836677897","0.8858942434451442"
"W02000085","3270.3","53.09942182001006","0.5085161466139801","0.8558386701185448"
"W02000087","4890.9","46.076713925033985","0.5320345450893754","0.6611769431612774"
"W02000088","2082.7","47.194677114293434","0.4942381562099872","0.7793427230046949"
"W02000089","4093.5","47.007105300554215","0.5051485731097382","0.7434539570461901"
"W02000090","167.2","50.755564977740086","0.5138949196699957","0.8983933999131567"
"W02000091","809.3","51.40821347464043","0.5151395988989382","0.902084152575698"
"W02000092","447.8","49.64880740477038","0.5278400597907325","0.8238041853512705"
