area_id,msoa_name,la_code,la_name,raw_population_density,raw_car_access_hhshare,raw_share_work_from_home,raw_share_students,raw_share_routine_semiroutine,mean_age_adult,raw_prob_female,scaled_population_density,scaled_car_access_hhshare,scaled_share_work_from_home,scaled_share_students,scaled_share_routine_semiroutine,scaled_mean_age_adult,scaled_prob_female
W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,62.8,0.8630968082300184,0.20816326530612245,0.05273603629146584,0.26566487099518005,53.79872910623014,0.5039857227840571,-0.7385763534300872,0.6348996398241148,-0.4925119732106015,-0.24719603888037903,0.0038108420907842304,0.6562949398195984,-0.5343496819376176
W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,53.1,0.9011289770783442,0.30970724191063176,0.03888280394304491,0.20463672873311428,57.52071629213483,0.5117850408548082,-0.7435072959980442,1.0668380727353353,0.6555194254488073,-0.4337328434688836,-0.811892645207336,1.502527080665835,0.06109871774923681
W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,2298.2,0.6803312629399586,0.12175980975029727,0.05821505893673322,0.38056290594178493,49.32469512195122,0.5159439375411532,0.39777715341641895,-1.4408027356460775,-1.4693683387742393,-0.17341980017947176,1.5395404959148302,-0.3609227902879013,0.378614730544513
W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,99.2,0.9045468232460102,0.235790841182202,0.05146124523506988,0.2417407878017789,55.722714766126565,0.5118259224219489,-0.7200726101853825,1.105655188937171,-0.18016134804140685,-0.26436137937257187,-0.3159589783220171,1.0937329057796734,0.06421987058718644
W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,100.0,0.8890060638017401,0.2877245508982036,0.04686393883618859,0.1952428146679881,57.866020984665056,0.5195441735081485,-0.7196659345096746,0.929155886271086,0.40698848985636743,-0.32626511590084506,-0.9374519065297191,1.581035660789568,0.6534791129937785
W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,152.4,0.8252714708785784,0.1740942609810837,0.06419221803837188,0.28958221265913575,51.497051682275405,0.5095170454545455,-0.6930286777508141,0.20531023078786145,-0.8776878151863511,-0.0929360451037935,0.32349055507323393,0.13298485928334985,-0.1120541424537778
W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,68.5,0.8936243936243936,0.22540592168099333,0.04885877318116976,0.2578459343794579,52.10606060606061,0.508558166521613,-0.7356787892406691,0.9816071191791966,-0.2975707115369126,-0.29940423498603064,-0.10069723611712714,0.2714493137878993,-0.185260917831907
W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,831.4,0.8593637020968908,0.23960695389266817,0.06869479882237488,0.20490677134445534,55.026785714285715,0.5193212365591398,-0.34786269799382313,0.5925020574126297,-0.13701730977411022,-0.03230780970534093,-0.8082832497444347,0.9355062644718721,0.6364587211705284
W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,55.9,0.9136690647482014,0.2666117517847337,0.04996998799519808,0.2382953181272509,54.42075716136462,0.5017430278884463,-0.7420839311330668,1.2092581865681522,0.16829233961346235,-0.2844414843869707,-0.36201120152133537,0.797719427995241,-0.7055709444202115
W02000010,Gwynedd 001,W06000002,Gwynedd,3111.9,0.6141263940520446,0.21473354231974923,0.5843221408735167,0.13696036354455945,32.98196517412935,0.5163087637840975,0.81141715007071,-2.1927037758571273,-0.4182300260015461,6.910727167662044,-1.7164564258793753,-4.076610851598534,0.4064678326432248
W02000011,Gwynedd 002,W06000002,Gwynedd,1265.2,0.7724321133412042,0.18610960390667391,0.13227752639517346,0.2571644042232277,47.21250732278852,0.5080577772472246,-0.12734281284127125,-0.3947962049442112,-0.7418452826650747,0.8238475286408882,-0.10980658312540642,-0.841150451985318,-0.22346374402160354
W02000012,Gwynedd 003,W06000002,Gwynedd,72.3,0.8454622084855297,0.23492462311557788,0.06761406133133882,0.23679880329094988,50.10968307287863,0.5121208429772202,-0.7337470797810571,0.43462020246075195,-0.18995459793985905,-0.0468601764820263,-0.38201365162906065,-0.18244769054347873,0.08673593815591306
W02000013,Gwynedd 004,W06000002,Gwynedd,206.1,0.8938790293371967,0.2500784436774396,0.06661605617764281,0.20971721389257925,51.063853211009175,0.5083268482490272,-0.6657305730189285,0.9844990644476879,-0.018629203796340296,-0.060298534235011886,-0.743986769194494,0.03449272284096322,-0.20292119197127031
W02000014,Gwynedd 005,W06000002,Gwynedd,72.5,0.8723040054775761,0.2438078185616234,0.06648745519713262,0.23476702508960573,50.38761588245583,0.5057846336398695,-0.7336454108621301,0.7394674956956753,-0.0895233598349329,-0.06203017457482431,-0.4091704436076835,-0.11925680225922562,-0.3970096503405166
W02000015,Gwynedd 006,W06000002,Gwynedd,1378.1,0.7449700924415443,0.19360953154616842,0.057019502754205746,0.29298794104510945,50.40181008475794,0.5204932472108045,-0.06995070810700874,-0.7066874967419564,-0.6570529325353588,-0.1895182257588367,0.3690115953385501,-0.11602960409819883,0.7259372961714441
W02000016,Gwynedd 007,W06000002,Gwynedd,77.4,0.8385797950219619,0.24610798277575355,0.05581039755351682,0.24675076452599387,52.68874656907594,0.5177784770295784,-0.7311545223484198,0.35645534949230445,-0.06351826501597647,-0.20579909183220213,-0.2489955196003714,0.40392897191000554,0.5186748733205454
W02000017,Gwynedd 008,W06000002,Gwynedd,63.9,0.867620206938527,0.22713950762016413,0.056447688564476885,0.2661800486618005,52.36042125117888,0.508843717001056,-0.7380171743759889,0.6862727223684687,-0.2779712123150734,-0.19721782893358206,0.01069671807625769,0.3292808275772577,-0.16346022006939387
W02000018,Gwynedd 009,W06000002,Gwynedd,28.2,0.7938549481957842,0.1909824046920821,0.057796508127633955,0.3034316676700783,52.40652131969902,0.4995888834073343,-0.7561650764044493,-0.15149307509889598,-0.6867545871051727,-0.17905567840078876,0.508602674349169,0.33976215320478637,-0.8700317180848559
W02000019,Gwynedd 010,W06000002,Gwynedd,28.5,0.8325718015665796,0.2241318835496317,0.04561590344337948,0.2600283990060348,56.453566621803496,0.5058558558558559,-0.7560125730260588,0.2882214475970952,-0.3119746754823974,-0.3430701855288375,-0.0715263660755834,1.2598996064102144,-0.3915721038593294
W02000020,Gwynedd 011,W06000002,Gwynedd,46.4,0.8824771287825475,0.24587912087912087,0.04677182685253118,0.2553191489361702,56.06531963072636,0.5227518124325158,-0.7469132047820969,0.8550055539033491,-0.06610572172268374,-0.3275054239144272,-0.13447030574282787,1.1716276522023823,0.8983701979529268
W02000021,Gwynedd 012,W06000002,Gwynedd,101.5,0.8161912993373668,0.20734528629265472,0.04404669260700389,0.3035019455252918,53.66696415290793,0.5041919257061782,-0.7189034176177226,0.10218502954789364,-0.5017598441558456,-0.3641999527760116,0.509542009702543,0.6263368198774804,-0.5186068696976285
W02000022,Gwynedd 013,W06000002,Gwynedd,31.1,0.8616305160807779,0.25421530479896237,0.04103852596314908,0.24120603015075376,57.06888265919103,0.5103584939650514,-0.7546908770800086,0.618246686487196,0.02814113766762232,-0.4047055748071301,-0.32310656080826455,1.3997980481854548,-0.04781273513399774
W02000023,Gwynedd 014,W06000002,Gwynedd,32.9,0.9077649077649077,0.3362646566164154,0.045475011256190905,0.20418730301665916,55.85481798715203,0.5041635124905375,-0.753775856809666,1.142203574847317,0.9557710697999586,-0.34496732965582805,-0.8178996791855236,1.1237679343698892,-0.5207761111146031
W02000024,Gwynedd 015,W06000002,Gwynedd,10.2,0.8636363636363636,0.31554441260744986,0.047699451245251163,0.24081891093288307,53.699858040965324,0.49815108293713684,-0.7653152791078747,0.6410274711769613,0.7215130516919637,-0.3150147585069376,-0.3282808047605259,0.6338155842904748,-0.9798023392188698
W02000025,Gwynedd 016,W06000002,Gwynedd,24.8,0.7922168172341904,0.2435328898743533,0.05188316679477325,0.2753651037663336,54.86845983787767,0.506201044386423,-0.7578934480262074,-0.1700976338679743,-0.09263163642535631,-0.25868011325686746,0.13346436595286934,0.8995092449626368,-0.3652182667351266
W02000026,Gwynedd 017,W06000002,Gwynedd,25.6,0.8287356321839081,0.2579022988505747,0.04005231322543731,0.2566617623017819,58.68273525334976,0.5132259919493962,-0.7574867723504997,0.2446533566438474,0.06982539191351572,-0.41798514509876705,-0.11652490606607456,1.766724065807743,0.1711098771244552
W02000027,Conwy 001,W06000003,Conwy,1260.9,0.6425360775964041,0.25284008156131665,0.04592251422378759,0.2974803576266594,55.65333503705597,0.5098528015194682,-0.12952869459820063,-1.8700497027067728,0.012593199623671192,-0.3389416042857577,0.42905733384768385,1.0779587094350203,-0.0864204383619848
W02000028,Conwy 002,W06000003,Conwy,1371.1,0.740790354989953,0.15910898965791567,0.06094929881337648,0.2973750449478605,55.485617021276596,0.5298852287971382,-0.07350912026945194,-0.7541575543140255,-1.0471076328032174,-0.13660266200264487,0.42764972227425424,1.0398262902561073,1.4429795240610133
W02000029,Conwy 003,W06000003,Conwy,679.5,0.8988682000730194,0.22138910812943963,0.04793070259865255,0.21270452358036573,58.27014303820388,0.5178333333333334,-0.4250802419188407,1.0411620067519278,-0.34298382449490444,-0.311900908436764,-0.7040583224214787,1.6729169740365424,0.5228629443784697
W02000030,Conwy 004,W06000003,Conwy,2858.6,0.7843601895734598,0.24302973977695166,0.0448843590748726,0.22206977655821247,59.68804664723032,0.5272016320979259,0.6826534642497294,-0.25932681912103445,-0.09832012853853549,-0.35292059050898233,-0.5788821458199643,1.995291970684578,1.238097078511904
W02000031,Conwy 005,W06000003,Conwy,784.0,0.8487953475491554,0.14864010120177104,0.051656208959579744,0.31577411352692253,54.540803382663846,0.5139500734214391,-0.37195823177951,0.4724752842879105,-1.1654663287948746,-0.2617361501649719,0.6735720762356503,0.8250131734533821,0.22639075551146565
W02000032,Conwy 006,W06000003,Conwy,1649.5,0.8735483870967742,0.23518005540166206,0.04270011273957159,0.22068771138669674,56.862802446157936,0.5274830094193395,0.06801401487686076,0.7536001697664992,-0.18706674289949446,-0.3823319453158368,-0.5973548591992704,1.3529435881482268,1.2595791714620799
W02000033,Conwy 007,W06000003,Conwy,3533.4,0.6812101910828026,0.18630234208658622,0.05969360802958267,0.29019193519985914,51.60931174089069,0.5033778927698721,1.0256843967092546,-1.4308205848469573,-0.7396662318768474,-0.153510813145207,0.33164011991852477,0.15850834042087159,-0.5807552017465071
W02000034,Conwy 008,W06000003,Conwy,949.8,0.835076187630714,0.27349678925861065,0.05519937451133698,0.22001563721657544,53.64999251160701,0.5123255510629973,-0.28767469798906947,0.3166642270836122,0.24613289170984756,-0.21402665078389804,-0.6063378172899297,0.6224781423392715,0.10236462530178769
