area_id,msoa_name,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000001,Isle of Anglesey 001,2021,0.11673757591171131,4.6068100541148555e-4,0.07925532699898005,0.16496978108361096,0.08571445408463091
W02000001,Isle of Anglesey 001,2023,0.1376246147143123,5.933906201598283e-4,0.09319679227270368,0.19182484860865898,0.0986280563359553
W02000001,Isle of Anglesey 001,2025,0.13507607204982636,5.718442981001643e-4,0.09248616973365109,0.18615810130257204,0.09367193156892095
W02000002,Isle of Anglesey 002,2021,0.13916185940366513,5.880867770222692e-4,0.10100466936515434,0.19642193292608012,0.09541726356092578
W02000002,Isle of Anglesey 002,2023,0.16412706282219022,7.545471776785783e-4,0.11806965171795301,0.2285378679220398,0.1104682162040868
W02000002,Isle of Anglesey 002,2025,0.16159930051071875,6.92425370602936e-4,0.11751335976648365,0.22161408046907377,0.10410072070259012
W02000003,Isle of Anglesey 003,2021,0.15953806038688204,0.0014644195390611742,0.09887524768928456,0.25733605092343076,0.15846080323414619
W02000003,Isle of Anglesey 003,2023,0.1886730134261714,0.001963809164884466,0.11818177699086417,0.29138909983086997,0.17320732284000578
W02000003,Isle of Anglesey 003,2025,0.18592934351163573,0.0018544014567288402,0.11772921328917871,0.28636412482573076,0.16863491153655205
W02000004,Isle of Anglesey 004,2021,0.10439950664930707,3.8856172810382056e-4,0.06661836151107198,0.14246607380306142,0.07584771229198944
W02000004,Isle of Anglesey 004,2023,0.12497089446748712,5.402399135364209e-4,0.0820812480729909,0.16946464728349292,0.08738339921050202
W02000004,Isle of Anglesey 004,2025,0.12265397950054382,5.016147240881285e-4,0.08179746797987097,0.16317303667135763,0.08137556869148665
W02000005,Isle of Anglesey 005,2021,0.1420807496513332,7.746450322282224e-4,0.09626657024599726,0.20210337229284,0.10583680204684275
W02000005,Isle of Anglesey 005,2023,0.16721615375336982,0.0010484583652552093,0.11672470498937011,0.2419199019408353,0.1251951969514652
W02000005,Isle of Anglesey 005,2025,0.1636141760431287,9.218536945269555e-4,0.11476787635203306,0.23097974488234826,0.1162118685303152
W02000006,Isle of Anglesey 006,2021,0.13056199299384427,6.163217189914652e-4,0.08912199530367636,0.18573936487452236,0.096617369570846
W02000006,Isle of Anglesey 006,2023,0.15590327687027342,7.39088521198669e-4,0.10894632534583212,0.22183365100582214,0.11288732565999002
W02000006,Isle of Anglesey 006,2025,0.1539177219457906,7.18136761257108e-4,0.10925494820544183,0.2110017885626208,0.10174684035717897
W02000007,Isle of Anglesey 007,2021,0.12367000130829046,3.936434468411895e-4,0.08574244739999687,0.1657447277847525,0.08000228038475563
