method,component,area_id,area_inla_id,effect,lower,upper
MRP Shallow,Structured,W02000001,1,-0.007252306504171386,-0.5048901067178154,0.4788414554053586
MRP Shallow,Structured,W02000002,2,-0.12315470227430562,-0.6713069054582168,0.32020018303569203
MRP Shallow,Structured,W02000003,3,0.34465715748386017,-0.4252744228595051,1.316030779402533
MRP Shallow,Structured,W02000004,4,0.20990481112375076,-0.3044863397891617,0.8812686535937546
MRP Shallow,Structured,W02000005,5,-0.201415965473262,-0.8802202870476188,0.3190548850729563
MRP Shallow,Structured,W02000006,6,-0.02188891928073805,-0.513233416202798,0.4584110866852389
MRP Shallow,Structured,W02000007,7,0.08996587971303366,-0.35217286406066944,0.622207473888329
MRP Shallow,Structured,W02000008,8,-0.2085291562494834,-1.0030964295385159,0.422508785136946
MRP Shallow,Structured,W02000009,9,-0.08231084289960917,-0.5583136826268389,0.3345621598805749
MRP Shallow,Structured,W02000010,10,-0.18033103648287643,-1.0994440025208876,0.5990818979889818
MRP Shallow,Structured,W02000011,11,-0.118551368484545,-0.751995706856649,0.43563046644837433
MRP Shallow,Structured,W02000012,12,-0.10891068487183071,-0.6410206099814559,0.35048264403353013
MRP Shallow,Structured,W02000013,13,-0.08515145756327887,-0.7060078654182549,0.48322704197332783
MRP Shallow,Structured,W02000014,14,-0.079717199964337,-0.5555743462620025,0.3509125041428047
MRP Shallow,Structured,W02000015,15,-0.11650561356295569,-0.8394167887241102,0.521118300656704
MRP Shallow,Structured,W02000016,16,-0.10277566722205093,-0.6519670699601585,0.37783092558905196
MRP Shallow,Structured,W02000017,17,-0.0768102405509271,-0.6560095269105521,0.457280199932792
MRP Shallow,Structured,W02000018,18,-0.057694964248725535,-0.5007344493903186,0.34442171959913676
MRP Shallow,Structured,W02000019,19,-0.09285866553038047,-0.5502424767838014,0.30407358837864745
MRP Shallow,Structured,W02000020,20,-0.05991491644440193,-0.6563032720376455,0.5096632824724177
MRP Shallow,Structured,W02000021,21,-0.10458611318097485,-0.9187681299327617,0.6462763784303679
MRP Shallow,Structured,W02000022,22,-0.09469165886153419,-0.6440517314836494,0.377515235115967
MRP Shallow,Structured,W02000023,23,-0.1691345219523594,-1.199633971336091,0.7377072902598406
MRP Shallow,Structured,W02000024,24,0.02357591324221319,-0.28768499423724175,0.358735686664534
MRP Shallow,Structured,W02000025,25,-0.03273115607814074,-0.5044656506319588,0.41184701388727374
MRP Shallow,Structured,W02000026,26,0.051762500877937954,-0.39410935276810166,0.5424253394133431
MRP Shallow,Structured,W02000027,27,-0.354811134608407,-1.4540239217727347,0.4608249054824615
MRP Shallow,Structured,W02000028,28,-0.31071092650082083,-1.1547919539751885,0.3030050586535343
MRP Shallow,Structured,W02000029,29,-0.2584770311869768,-0.9581359621062531,0.25591592261941115
MRP Shallow,Structured,W02000030,30,-0.23385450978498204,-0.9927571248849574,0.34747657214710703
MRP Shallow,Structured,W02000031,31,-0.12454518326634445,-0.7809084069039562,0.4312107868710379
MRP Shallow,Structured,W02000032,32,-0.2601972739266653,-1.00177179042458,0.28754996755052553
MRP Shallow,Structured,W02000033,33,-0.14788938622154557,-0.7582967174827473,0.3588918368810094
MRP Shallow,Structured,W02000034,34,-0.08885668786504847,-0.5938919822442684,0.3618864717292758
MRP Shallow,Structured,W02000035,35,-0.11668502321580229,-0.6391854944808232,0.32276198546482165
MRP Shallow,Structured,W02000036,36,-0.09581220432015915,-0.6015423683400543,0.3417665020269761
MRP Shallow,Structured,W02000037,37,-0.16101659565556073,-0.6839534173016901,0.2480831394808002
MRP Shallow,Structured,W02000038,38,-0.1443351580276547,-0.7648924412601563,0.3667807886724567
MRP Shallow,Structured,W02000039,39,-0.16148063232108714,-0.8819162773265279,0.432409175390831
MRP Shallow,Structured,W02000040,40,-0.05721152310545545,-0.41432260204978616,0.26626059119849066
MRP Shallow,Structured,W02000041,41,-0.08073294889303739,-0.4784479468727567,0.2661038828149888
MRP Shallow,Structured,W02000042,42,-0.0024752053425081194,-0.6315520074081781,0.6407182079609866
MRP Shallow,Structured,W02000043,43,0.08894425753123186,-0.4444658968945381,0.7179348973406126
MRP Shallow,Structured,W02000044,44,0.07645010253704637,-0.4375775887029588,0.6742457767697562
MRP Shallow,Structured,W02000045,45,-0.08828109524496146,-0.7040705491258769,0.4607038931956917
MRP Shallow,Structured,W02000047,46,-0.13761894974606748,-0.8478657226157462,0.4588576950343061
MRP Shallow,Structured,W02000049,47,0.04055110850031433,-0.3451286907726106,0.47493137699570287
MRP Shallow,Structured,W02000050,48,-0.08542572467910035,-0.5612569575481317,0.3299069779634213
MRP Shallow,Structured,W02000051,49,-0.017560833696270563,-0.4339857624224216,0.39799018090876015
MRP Shallow,Structured,W02000052,50,-0.01036450188916314,-0.498039952946186,0.4840401806337484
MRP Shallow,Structured,W02000053,51,0.005466767454948251,-0.39287239874999047,0.4220443981604002
MRP Shallow,Structured,W02000054,52,0.03908829614223583,-0.27206144086611006,0.3885200311031714
MRP Shallow,Structured,W02000055,53,0.1332480744755885,-0.35054514524522123,0.7506017471710471
MRP Shallow,Structured,W02000056,54,0.03534927563924598,-0.316805857553958,0.4278574315403884
MRP Shallow,Structured,W02000057,55,0.035682773166345716,-0.3014155001251937,0.40375179185069776
MRP Shallow,Structured,W02000058,56,0.07852555815293297,-0.386053641167954,0.6256799624248424
MRP Shallow,Structured,W02000059,57,0.017572732296183478,-0.431545779707631,0.49151459887850524
MRP Shallow,Structured,W02000060,58,-0.0354707082824874,-0.5620288761068799,0.46245267534754625
MRP Shallow,Structured,W02000061,59,0.021923988250028753,-0.5548126561672913,0.6257050311124607
MRP Shallow,Structured,W02000062,60,-0.021895251169125173,-0.503419379848826,0.44490582558461667
MRP Shallow,Structured,W02000063,61,-0.023847162814449145,-0.42314272295727845,0.3587255389065322
MRP Shallow,Structured,W02000064,62,-0.02555427147320733,-0.7183553089392248,0.6471759022091778
MRP Shallow,Structured,W02000065,63,-0.005376051848344309,-0.569418385636938,0.5589107509270591
MRP Shallow,Structured,W02000066,64,-0.022725444133015464,-0.6041184689305158,0.5412708848079678
MRP Shallow,Structured,W02000067,65,-0.033153890338261445,-0.5538690015870736,0.4608848236443848
MRP Shallow,Structured,W02000068,66,0.04722720296300877,-0.4876376648769166,0.6327036303167534
MRP Shallow,Structured,W02000069,67,-0.031748629376332195,-0.45652179725513387,0.3691083611423509
MRP Shallow,Structured,W02000070,68,0.0050827017410952505,-0.43380987718459646,0.45268106122771434
MRP Shallow,Structured,W02000071,69,-0.011685598294494575,-0.48788887770222905,0.45821158201696405
MRP Shallow,Structured,W02000072,70,0.020960603642890846,-0.4989983074105697,0.5648504276116364
MRP Shallow,Structured,W02000073,71,-0.03683250043288004,-0.5190955644085524,0.41477151229622294
MRP Shallow,Structured,W02000074,72,-0.0012594216324017516,-0.44027516075486517,0.440960579479061
MRP Shallow,Structured,W02000075,73,0.00617429758366814,-0.3968558456149268,0.4168901270366914
MRP Shallow,Structured,W02000076,74,0.0019318882031330556,-0.38001276154227315,0.3892499030001372
MRP Shallow,Structured,W02000077,75,0.012600824743278114,-0.3475822631226191,0.384432933119054
MRP Shallow,Structured,W02000080,76,-0.02323914983100833,-0.6061807626531203,0.5363748239645211
MRP Shallow,Structured,W02000081,77,3.613400297081241e-4,-0.5131809183513282,0.5147617413657536
MRP Shallow,Structured,W02000082,78,0.00592894177479901,-0.5831967867903058,0.6011148529263508
MRP Shallow,Structured,W02000083,79,-0.002980219108173821,-0.44017060607524977,0.42960088004651525
MRP Shallow,Structured,W02000085,80,-0.03047356743446669,-0.6327043265608745,0.5412992175851871
MRP Shallow,Structured,W02000087,81,0.1941633580076091,-0.42437181016535297,0.9777587336212687
MRP Shallow,Structured,W02000088,82,-0.007525063849180322,-0.5410863704683676,0.5155083987133254
MRP Shallow,Structured,W02000089,83,0.1260554091511697,-0.7143139081397052,1.074182577707082
