area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,bhf_estimate,bhf_variance,bhf_ci_width,fh_estimate,fh_variance,fh_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width,mrp_minus_bhf
W02000001,Isle of Anglesey 001,2021,6,0,0,0,0.11868888532957476,0.00104778371665297,0.1279740924165547,0.01828374231121682,1.4607697773141376e-4,0.04740070336482951,0.12244177969833785,0.0010222134505406422,0.06927451968229423,0.1874082006601578,0.11813368097786356,0.0037528943687630822
W02000001,Isle of Anglesey 001,2023,9,0.18565260641894785,0.0160569283101873,0.4967173397030637,0.15053534511679512,0.00107294211893586,0.12941156519039176,0.07503237455856471,1.973997089756551e-4,0.05507469142110341,0.14889812502121214,0.0014146524725122634,0.08078374192221105,0.2283351334501649,0.14755139152795385,-0.0016372200955829808
W02000001,Isle of Anglesey 001,2025,22,0.00939999614413936,9.325536415956076e-5,0.037854280668256655,0.15053398065571677,0.00203685372882552,0.1797270230060573,0.01320645331762264,8.887666776852988e-5,0.03697271991724242,0.14950622071016714,0.002061202970262859,0.07525114324545094,0.2642685520033187,0.18901740875786777,-0.0010277599455496278
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.79047779664215,0.14965585655782596,0.00109805659216646,0.13004829761365672,0.08754898563943668,8.290460671876149e-4,0.11297142883311108,0.15885931824482696,0.0014962843601246303,0.09618249791873333,0.2528371555726624,0.15665465765392905,0.009203461687001008
W02000002,Isle of Anglesey 002,2023,8,0.48853585090916113,0.03329906285454524,0.7153096636378984,0.18150274872839875,0.0011236436502993,0.13171123847735922,0.14429723293194924,8.757311139850449e-4,0.11610358918921364,0.19073455050240046,0.0019756671183193478,0.1166582688571653,0.29556799619208385,0.17890972733491856,0.009231801774001708
W02000002,Isle of Anglesey 002,2025,26,0.05118071695859134,0.00135952060307236,0.14453431997401464,0.1815013881781218,0.00209019727946543,0.18208259520391343,0.08247202577116444,7.87921158534738e-4,0.11013466984095484,0.1909059852763046,0.0029518388317595107,0.10063660037105279,0.31940653059019813,0.21876993021914534,0.009404597098182782
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.4221606309827293,0.170589930288191,0.00258139213265479,0.20016743019375077,0.10997244657692304,0.00110775826500175,0.1306392227637406,0.16656915078268603,0.003632977892467537,0.07349053158417773,0.306729387477502,0.23323885589332427,-0.004020779505504973
W02000003,Isle of Anglesey 003,2023,3,0.5456427510644392,0.09405494524933898,1.2021783545846698,0.2024367587811203,0.00262204116117308,0.2018103021756394,0.16672058244799057,0.00116453652743561,0.13393822914827408,0.2013725937223215,0.004799000403141367,0.08643476861139876,0.3558010111628578,0.269366242551459,-0.001064165058798805
W02000003,Isle of Anglesey 003,2025,24,0.08442708534476404,0.00223073561758146,0.18514080063340824,0.20243908845760125,0.00359595721965935,0.23752135781391173,0.10489554743847794,0.00108041986846062,0.12901945318483848,0.2025418527757737,0.00614021700246442,0.08167615970278465,0.3708183269998489,0.28914216729706427,1.0276431817243803e-4
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.4891400795489484,0.09453792339240796,0.00120807441871779,0.13668413115282269,0.08946367310299717,0.00190503667552445,0.17154843484555343,0.10363319338027338,8.604814517212501e-4,0.04990568219904648,0.16804398803863707,0.11813830583959059,0.009095269987865418
W02000004,Isle of Anglesey 004,2023,11,0,0,0,0.12638467615133636,0.0012391706021129,0.13833014757404377,0.14621148777012188,0.00195869783153848,0.1739362462244551,0.12781018502721772,0.0013150433589885404,0.06251263586478313,0.2060088651738694,0.1434962293090863,0.0014255088758813594
W02000004,Isle of Anglesey 004,2025,24,0,0,0,0.12638830865639453,0.00220601340759221,0.18632582407196532,0.0843873070156539,0.0018933422134355,0.17102797723173885,0.12810620076994125,0.0017824471796937453,0.057745090287782117,0.2107806232549222,0.15303553296714006,0.0017178921135467262
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.4912137538186233,0.15703838210688692,0.00121175286206983,0.13645675164965804,0.11044456466092575,0.00125657003280292,0.13914459136915894,0.16486838080585317,0.0017299801981717259,0.09653331865410969,0.25390843959404175,0.15737512093993206,0.00782999869896625
W02000005,Isle of Anglesey 005,2023,10,0.4171105013713594,0.02600708736442021,0.6321555351544893,0.18888532854651033,0.00123735627870355,0.13802658013850444,0.16719259088345595,0.0012981144202918,0.14142197014997215,0.1977365124790298,0.0022247091342685664,0.11752368640395716,0.30249308828877214,0.18496940188481498,0.008851183932519463
W02000005,Isle of Anglesey 005,2025,20,0.06347735831144721,0.00379139987131602,0.2413669942510408,0.1888805784700868,0.00220444118251125,0.18638807235645727,0.10536784153381765,0.00123203263797784,0.13778022359410014,0.19718376424203513,0.003630122959776911,0.11318148308136111,0.3464474300890321,0.233265947007671,0.00830318577194833
