domain_id,mrp_mean,mrp_lower,mrp_upper,mrp_ci_width
W02000001,14.555380434143265,13.481000751661067,15.633144716871813,2.1521439652107457
W02000002,14.51307077908474,13.439651623271482,15.5502872305689,2.110635607297418
W02000003,13.16886084930495,12.293015955687755,14.119600813792848,1.8265848581050932
W02000004,14.486583702373357,13.44702468949168,15.53465974067618,2.087635051184499
W02000005,14.437837819723693,13.39566999849308,15.486943336084844,2.0912733375917636
W02000006,14.469333595870026,13.428413456339046,15.517486843023322,2.0890733866842766
W02000007,14.525096562628594,13.467350303495737,15.582031510027631,2.1146812065318947
W02000008,14.010568995398604,13.134609044226739,14.898058176323357,1.7634491320966177
W02000009,14.573981495882121,13.508653796147755,15.653646323618608,2.144992527470853
W02000010,12.687216247243402,11.630883214358605,13.803043209802908,2.1721599954443036
W02000011,13.82431452272333,12.970361670954635,14.705937188430477,1.7355755174758425
W02000012,14.500287441977468,13.44729698537044,15.574700243414238,2.127403258043799
W02000013,14.444111264244345,13.425907126441302,15.478011397820147,2.0521042713788447
W02000014,14.53907730532463,13.487715903341662,15.6229095729277,2.1351936695860374
W02000015,13.681127485333947,12.847555389189573,14.549043138084244,1.701487748894671
W02000016,14.461929708896193,13.40698558850928,15.525720139125665,2.118734550616386
W02000017,14.52565339250681,13.460871561302547,15.614819866551649,2.153948305249102
W02000018,14.603864274521069,13.522504937686335,15.687185308949017,2.1646803712626816
W02000019,14.565048757135115,13.485955402693484,15.637593630915367,2.1516382282218824
W02000020,14.449602262668,13.387557513778745,15.502487762534289,2.1149302487555435
W02000021,14.531153439517333,13.474707847304176,15.596414255472297,2.121706408168121
W02000022,14.535314793596822,13.45808595730167,15.627578814798868,2.1694928574971986
W02000023,14.572595711815092,13.494076624980032,15.650808799151077,2.1567321741710455
W02000024,14.623158416484557,13.531623729275498,15.715382357719495,2.1837586284439965
W02000025,14.564086077112279,13.48693993364997,15.633593313351504,2.146653379701535
W02000026,14.520834470412026,13.435804253172686,15.584570360764905,2.1487661075922198
W02000027,13.815291632462607,12.969774447418004,14.683955626162748,1.7141811787447434
W02000028,13.627517676882277,12.812160086978038,14.470913113604567,1.6587530266265293
W02000029,14.10772892477783,13.208933984238525,15.02545584302439,1.8165218587858654
W02000030,12.769358649171318,11.785311294800247,13.814971185663564,2.029659890863318
W02000031,14.070446206346956,13.17732112671884,14.97595300464475,1.79863187792591
W02000032,13.478986521195475,12.652023002964391,14.320183870329716,1.6681608673653248
W02000033,12.518712971898562,11.29768590777131,13.78015253316105,2.4824666253897405
W02000034,13.98296462522103,13.103207067058554,14.888180969862866,1.7849739028043121
W02000035,14.086543894031148,13.191835243132758,14.986341021656637,1.7945057785238792
W02000036,14.074218862068506,13.181771591340771,14.96806264343411,1.786291052093338
W02000037,14.367823488203614,13.406160714464646,15.390400856645634,1.9842401421809885
W02000038,14.47127322565035,13.416168048732825,15.525526551167289,2.109358502434464
W02000039,14.398789288284767,13.409481111928597,15.415250162571034,2.005769050642437
W02000040,14.622868578594073,13.541433626788447,15.727584595273145,2.1861509684846983
W02000041,14.555310212336897,13.485938240275795,15.631594343018593,2.145656102742798
W02000042,12.645228867448735,11.560481498578207,13.770557064891726,2.2100755663135185
W02000043,13.963561133748057,13.085390615078804,14.846050208006481,1.7606595929276772
W02000044,12.9537367252712,12.034222420088426,13.906377354726894,1.872154934638468
W02000045,12.609884240904922,11.455499600743593,13.810750442381847,2.355250841638254
W02000047,12.698711556094395,11.649821533882452,13.793145508859125,2.1433239749766724
W02000049,14.475674884841041,13.432952906746767,15.52800300719321,2.095050100446443
