area_id,time_id,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000001,2021,0.04682035366166687,1.0923846719450104e-4,0.023995863142792236,0.0666531756231746,0.04265731248038237
W02000002,2021,0.04111951523325659,1.3283909531298777e-4,0.018110332883864835,0.06335383526950929,0.04524350238564445
W02000003,2021,0.05823761315057702,1.8482856406841532e-4,0.03327517142977034,0.09161173436494957,0.058336562935179234
W02000004,2021,0.044774732495518825,1.284931925829528e-4,0.024130513412195354,0.06782816928247776,0.043697655870282404
W02000005,2021,0.039795551456988154,1.439061845425516e-4,0.01653552401962652,0.06562495289387063,0.04908942887424411
W02000006,2021,0.05031804888438447,9.91959997891924e-5,0.030954702865546108,0.06924228394946441,0.038287581083918304
W02000007,2021,0.051850272274655856,9.868488161047792e-5,0.03278281808374465,0.07338980976112544,0.04060699167738079
W02000008,2021,0.044356370820175586,1.2914110126330158e-4,0.02175090338688456,0.06859387876976408,0.04684297538287952
W02000009,2021,0.04647796873098757,8.800386471888e-5,0.028966158595718945,0.0663191245615876,0.03735296596586866
W02000010,2021,0.08449087836493328,3.6525631471078955e-4,0.04720957629677121,0.12088853333746019,0.07367895704068898
W02000011,2021,0.05811538866288045,1.4202185330321258e-4,0.03524659499518505,0.07949898985071568,0.04425239485553063
W02000012,2021,0.052931489212960925,1.0799075232982519e-4,0.031160495923998534,0.07464011692937408,0.04347962100537555
W02000013,2021,0.05145364934258665,1.3509514454966361e-4,0.02982019105920835,0.07617035324256491,0.04635016218335656
W02000014,2021,0.053075570456392315,1.0193700456475707e-4,0.034206043434409535,0.07154155191048929,0.037335508476079755
W02000015,2021,0.052250643736900776,1.196476004836271e-4,0.03328135268582169,0.07261739082580268,0.03933603813998099
W02000016,2021,0.04762422335436737,1.1479454607411965e-4,0.028954348342990856,0.06756332681110647,0.03860897846811561
W02000017,2021,0.04897984873701426,1.3279293349088356e-4,0.02256179087057556,0.07031140196014152,0.047749611089565956
W02000018,2021,0.044468745611823214,1.211797731992746e-4,0.024070489335925253,0.06454998492985692,0.040479495593931665
W02000019,2021,0.040470854629516884,1.2798263922017862e-4,0.017299862616776813,0.0612919042702387,0.04399204165346189
W02000020,2021,0.04163576848525807,1.3772359976396787e-4,0.015880071119672157,0.0629666478572619,0.047086576737589744
W02000021,2021,0.04700853493167988,1.4656818437963878e-4,0.02520820732767253,0.07065333130313065,0.045445123975458114
W02000022,2021,0.03999347050164158,1.2101298557346514e-4,0.020562013633722787,0.06260708345126524,0.042045069817542455
W02000023,2021,0.04354236744345542,1.8477901574637018e-4,0.017650705687402388,0.06995423741322201,0.05230353172581963
W02000024,2021,0.046696943004763757,8.639544359950313e-5,0.028114590179904947,0.06389258172770396,0.03577799154779901
W02000025,2021,0.04433285126480149,1.1297737256196538e-4,0.024416595406257877,0.06623797279464387,0.041821377388386
W02000026,2021,0.038682534709612644,1.3013503626900803e-4,0.0170311799497185,0.0624626834990929,0.0454315035493744
