area_id,time_id,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000001,2021,0.048046380296806475,1.0648285446707664e-4,0.029244764928608287,0.06639990723423563,0.03715514230562734
W02000002,2021,0.04112876827966728,1.3818530478137774e-4,0.01951193326422131,0.06545059785833438,0.04593866459411307
W02000003,2021,0.057109890619216765,1.6614449642601026e-4,0.032150584440098134,0.08028241165800623,0.048131827217908096
W02000004,2021,0.045011548570075575,1.2020666887065047e-4,0.023973735779839973,0.06536075173741486,0.04138701595757489
W02000005,2021,0.04004857436770455,1.6705035579835955e-4,0.015157710291502743,0.06772028460423482,0.05256257431273208
W02000006,2021,0.05047101662032034,9.241560807651786e-5,0.03168519566530539,0.0684683834780824,0.03678318781277701
W02000007,2021,0.05152805144607369,9.792834367157918e-5,0.03359791961680094,0.07167639222867532,0.03807847261187438
W02000008,2021,0.045663862976753164,1.3690732045166764e-4,0.02372716500663249,0.07102098358142767,0.04729381857479517
W02000009,2021,0.04609891573716605,1.1128877284753038e-4,0.024994207585912163,0.0681680389526794,0.04317383136676723
W02000010,2021,0.08499346975566065,3.6706603200082016e-4,0.04713145859625607,0.12018600453234626,0.07305454593609019
W02000011,2021,0.0578419879128638,1.4219538458454603e-4,0.03334475180426305,0.08156793794317979,0.04822318613891674
W02000012,2021,0.052684984334013765,1.2723513300524303e-4,0.029957706634646752,0.07386006723909938,0.04390236060445263
W02000013,2021,0.05033035502245799,1.2903848687167955e-4,0.029585827831648783,0.07031564637469623,0.04072981854304744
W02000014,2021,0.05208264555520699,1.2633277539826366e-4,0.0310522854694745,0.07480850303459516,0.04375621756512066
W02000015,2021,0.052585637325961984,1.1959377473026691e-4,0.03145975541389351,0.07331573991875676,0.04185598450486325
W02000016,2021,0.04746814520263072,1.224910140540808e-4,0.024551987428180266,0.0696004388433197,0.04504845141513944
W02000017,2021,0.04854359744058679,1.2429237596847255e-4,0.027205268213825757,0.07232048047158754,0.045115212257761786
W02000018,2021,0.04452005592795731,1.0223067617999398e-4,0.024720313056496024,0.06338330909457773,0.03866299603808171
W02000019,2021,0.04069519933745133,1.1295245845650365e-4,0.01880535733633769,0.061273921030929386,0.0424685636945917
W02000020,2021,0.042574364549454624,1.1535581484603881e-4,0.02426926881525827,0.06565607538373364,0.04138680656847536
W02000021,2021,0.04689334889564042,1.396964125679943e-4,0.02322694733416729,0.06981342125496959,0.0465864739208023
W02000022,2021,0.039441043940514314,1.3223591892001787e-4,0.015562867790041358,0.06241875909248286,0.0468558913024415
W02000023,2021,0.04321404393163908,1.813871664291536e-4,0.017576100235899388,0.07236513472211925,0.05478903448621986
