area_id,time_id,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000001,2021,0.02339931333124788,6.112723975919846e-5,0.010792634842633373,0.038062265221713826,0.02726963037908045
W02000002,2021,0.0187459492715756,3.0307548315344083e-5,0.009851486603781812,0.031132917336161282,0.02128143073237947
W02000003,2021,0.044554964661102675,3.804635410797856e-4,0.018406066124052097,0.0900876349643534,0.0716815688403013
W02000004,2021,0.029745823720499616,1.2305348674948106e-4,0.013904005804188685,0.05415285186609861,0.040248846061909926
W02000005,2021,0.017945545316845227,3.581915884313689e-5,0.00849275739256062,0.03163752519384772,0.023144767801287103
W02000006,2021,0.025020995583295624,6.746280397601505e-5,0.01228216467287263,0.04387369532512603,0.0315915306522534
W02000007,2021,0.027124397906989985,6.430062274421266e-5,0.01500752937485556,0.044576104622824055,0.029568575247968493
W02000008,2021,0.019960110607322338,6.742837529413274e-5,0.007570395774227001,0.03964262341499355,0.032072227640766546
W02000009,2021,0.021306695928325,4.457114164044289e-5,0.010603175881115,0.03512679498996159,0.024523619108846588
W02000010,2021,0.035220321334453394,3.212985356403977e-4,0.012374080035874147,0.08251714510373515,0.070143065067861
W02000011,2021,0.02731078611504227,8.719948483069344e-5,0.012463711818563747,0.04700070320564434,0.03453699138708059
W02000012,2021,0.024509449053232456,5.8792752324932565e-5,0.012585718401006717,0.04415494367160636,0.031569225270599646
W02000013,2021,0.024410941277609125,8.832159130781651e-5,0.010762277173175,0.047970316296057094,0.03720803912288209
W02000014,2021,0.024802049047969142,6.755756640256721e-5,0.013072369844984425,0.04354556747662299,0.03047319763163857
W02000015,2021,0.024929984786470027,1.0039656588068445e-4,0.009456656296038979,0.04862358866913886,0.03916693237309988
W02000016,2021,0.023332168094954135,6.429479021321153e-5,0.010664177233962298,0.04059672579913785,0.029932548565175555
W02000017,2021,0.02252588406573327,5.741060338353443e-5,0.010875045619226587,0.04019032242737479,0.029315276808148202
W02000018,2021,0.024557638553192193,5.479214970018774e-5,0.013073693699344146,0.04292249045171455,0.029848796752370402
W02000019,2021,0.02153781440569883,4.636284893028144e-5,0.011039954229544027,0.036334234739865814,0.025294280510321787
W02000020,2021,0.02298126939108875,5.975462404412731e-5,0.01130388905487666,0.03997072969251367,0.028666840637637008
W02000021,2021,0.02401157511585874,1.0868087445260201e-4,0.0098186993721945965,0.05184760882511877,0.042028909452924174
W02000022,2021,0.019503499967061518,4.079275413785238e-5,0.009613880560258541,0.03335367623828779,0.023739795678029252
W02000023,2021,0.020436513121379413,1.0498082851331443e-4,0.006111936469162815,0.042621789142658545,0.03650985267349573
W02000024,2021,0.025887459613610705,4.680123759094516e-5,0.015550507992972322,0.04240294532132845,0.026852437328356127
W02000025,2021,0.023833788752145042,4.823692251801819e-5,0.012662609118072564,0.040368899613539136,0.027706290495466572
W02000026,2021,0.02416266162247682,5.021396482857738e-5,0.012968378291931912,0.039623844897765784,0.026655466605833872
W02000027,2021,0.0202307986726752,1.064384720616643e-4,0.005926292027629685,0.04304312686672246,0.037116834839092776
W02000028,2021,0.018705068786507538,6.076773570047803e-5,0.007055458048922941,0.03576955855071125,0.028714100501788305
W02000029,2021,0.017157187107332095,4.660825960141425e-5,0.006840656625326855,0.03470889938904056,0.027868242763713705
W02000030,2021,0.01862924252368649,6.087384881770479e-5,0.00712849350412622,0.03552297531261893,0.02839448180849271
W02000031,2021,0.021326037486406865,5.562146187092031e-5,0.009358799484512563,0.03644348837497785,0.027084688890465287
W02000032,2021,0.017617955660178826,4.4009029474244895e-5,0.00726690814714916,0.034214740619394904,0.026947832472245744
W02000033,2021,0.02624640159824845,1.0192198093033678e-4,0.011053321982568292,0.048067960384405195,0.0370146384018369
W02000034,2021,0.02400033618160183,7.001451555545371e-5,0.010692010213041888,0.04525489452418094,0.03456288431113905
W02000035,2021,0.02250605849914512,5.811962309162352e-5,0.010997041409715861,0.038953691325147206,0.027956649915431345
W02000036,2021,0.021539744432093354,5.403602116324059e-5,0.010010179163616142,0.03832169669357565,0.028311517529959508
W02000037,2021,0.021818634835056593,4.911110490035654e-5,0.010656914896683566,0.03833576766959973,0.027678852772916165
W02000038,2021,0.020911289712189057,5.8542588571561134e-5,0.009442350591911874,0.03825632510273233,0.028813974510820455
W02000039,2021,0.02142635689169303,7.003531284189589e-5,0.008383613121272327,0.040808261160318146,0.03242464803904582
W02000040,2021,0.021934600041857537,4.314016250291251e-5,0.010799834436625046,0.03595234460534918,0.02515251016872413
W02000041,2021,0.02280010495646407,5.1744252139030606e-5,0.011843850758116701,0.03978873501860237,0.027944884260485667
W02000042,2021,0.023243060159676147,8.053817179676076e-5,0.011001497818460777,0.04310174084479762,0.03210024302633684
W02000043,2021,0.029067806407851105,1.041038106065795e-4,0.013148168491364721,0.05285009411959442,0.039701925628229696
W02000044,2021,0.025742243067941265,8.754206808264558e-5,0.012867380110269173,0.04882110926643497,0.0359537291561658
W02000045,2021,0.027166736258492117,8.6627995954475e-5,0.011818996261245794,0.04821032906636499,0.0363913328051192
W02000047,2021,0.02666621726707777,1.1715369212191795e-4,0.010886821321136384,0.0517253428135331,0.040838521492396716
W02000049,2021,0.02706403575585872,6.54687781252104e-5,0.014247473525751543,0.04517996643828672,0.03093249291253518
W02000050,2021,0.022379173386480593,4.9276354472268867e-05,0.011263541070856954,0.037449287965281824,0.02618574689442487
W02000051,2021,0.02434153396089456,5.877639942822225e-5,0.011658360700148949,0.04118951183108353,0.029531151130934585
W02000052,2021,0.0285078370167418,9.860258830509637e-5,0.014195506133194058,0.051110764659709956,0.0369152585265159
W02000053,2021,0.024195063685347774,5.580918259728398e-5,0.012585913820548965,0.0433470402902202,0.030761126469671232
W02000054,2021,0.02487314244316391,6.056548739762028e-5,0.012748733612069688,0.04109133558431006,0.02834260197224037
W02000055,2021,0.03112849209685255,1.1726716336214474e-4,0.015126461880194238,0.05805742709135649,0.04293096521116225
W02000056,2021,0.025106085563350505,6.417158965442604e-5,0.013373358436894842,0.04466931309449322,0.03129595465759838
W02000057,2021,0.02471266451111894,4.733372960425199e-5,0.013258106994047805,0.04033833656281127,0.027080229568763468
W02000058,2021,0.025569915831195545,6.832066181533819e-5,0.01333140739815833,0.04481656178060767,0.03148515438244934
W02000059,2021,0.025334685025657756,6.238201944179019e-5,0.012631578283398733,0.04347347444044408,0.03084189615704535
W02000060,2021,0.025979117336268617,6.954901028474911e-5,0.012273005946733029,0.04467699112484018,0.03240398517810715
W02000061,2021,0.03170002193845458,1.2830334178335674e-4,0.014230031289831408,0.06116322839077934,0.046933197100947933
W02000062,2021,0.025188051711913906,6.959475304859517e-5,0.011716691656078498,0.045784337398504016,0.03406764574242552
W02000063,2021,0.021898342036143634,3.704223903774995e-5,0.011691641546590675,0.035416825383969355,0.02372518383737868
W02000064,2021,0.027723246071240576,1.142257982749488e-4,0.010721357023594176,0.050468861206423535,0.03974750418282936
W02000065,2021,0.026698268477520805,8.77226077073298e-5,0.013139298527983005,0.046968459532256035,0.03382916100427303
W02000066,2021,0.02792765254723808,9.472988991735727e-5,0.011955244254577488,0.04837948758707776,0.03642424333250027
W02000067,2021,0.023386740546899175,6.104783479690391e-5,0.011546450557202936,0.04305257295485327,0.031506122397650334
W02000068,2021,0.029147851773511934,1.2682203491384508e-4,0.0146810587264689,0.0568256174397071,0.0421445587132382
W02000069,2021,0.022593889026696935,4.490536402689465e-5,0.012579118138834534,0.03824093415885141,0.025661816020016874
W02000070,2021,0.02453271044120107,5.147136461540096e-5,0.01300074610135055,0.03960320578749903,0.026602459686148477
W02000071,2021,0.023885755800755214,5.687477381068429e-5,0.012187917545212819,0.04086885114054858,0.02868093359533576
W02000072,2021,0.02761290745976168,8.179579843254585e-5,0.01359542729832707,0.0505580840535427,0.03696265675521563
W02000073,2021,0.024613152699691054,5.187263877699772e-5,0.013298001457628935,0.040146618058413346,0.02684861660078441
W02000074,2021,0.026046074132493328,5.7775469488319554e-5,0.013817613104672208,0.04318996077222123,0.029372347667549023
W02000075,2021,0.024182383561743452,5.967989337245019e-5,0.01229099631316574,0.03962249000588658,0.027331493692720837
W02000076,2021,0.023555603246890447,5.095542448037259e-5,0.01289516983645798,0.04004309462968681,0.02714792479322883
W02000077,2021,0.02467226215600403,5.143829825267805e-5,0.01271691599277317,0.0420961759572594,0.029379259964486232
