domain_id,mrp_mean,mrp_lower,mrp_upper,mrp_ci_width
W02000001,14.61555885170896,13.539682310819435,15.718328509567545,2.17864619874811
W02000002,14.569945120607402,13.481187219288135,15.67320292178638,2.192015702498246
W02000003,13.216014379787229,12.260411043570299,14.14298643956497,1.882575395994671
W02000004,14.542350594617131,13.472898902458379,15.632623368647728,2.159724466189349
W02000005,14.49304142900637,13.432459933347713,15.589443301478969,2.1569833681312556
W02000006,14.526202859807956,13.46291486313567,15.604846621187038,2.141931758051369
W02000007,14.581789111895215,13.508279970299462,15.675557250261306,2.1672772799618443
W02000008,14.061811647513549,13.138511747924483,14.968475322473033,1.8299635745485503
W02000009,14.633537267747519,13.541655016681416,15.73484766803985,2.1931926513584337
W02000010,12.732304267398616,11.630532964588333,13.841869263990882,2.2113362994025483
W02000011,13.877415137278621,12.997963136066609,14.739127764076828,1.7411646280102193
W02000012,14.55670245928947,13.478888179886699,15.649919574826349,2.17103139493965
W02000013,14.501768406661052,13.459933684372478,15.566522939445418,2.10658925507294
W02000014,14.598120954346623,13.523879376744212,15.696661815282454,2.172782438538242
W02000015,13.731058920033647,12.85344427695332,14.579729667905218,1.7262853909518974
W02000016,14.517697231055278,13.438693251739675,15.611753199397898,2.1730599476582224
W02000017,14.583146723991472,13.502397610913853,15.682875122855346,2.1804775119414934
W02000018,14.66288821292676,13.554045549013166,15.776360972221758,2.2223154232085918
W02000019,14.622926132929667,13.527833094290635,15.727246791937514,2.1994136976468788
W02000020,14.503320615266464,13.424508337620765,15.599978719739724,2.1754703821189594
W02000021,14.590608815341549,13.516695968789197,15.676990947085963,2.1602949782967666
W02000022,14.592513606347083,13.497544347613852,15.699614709684685,2.202070362070833
W02000023,14.631344081633223,13.5386078632671,15.74069736171315,2.2020894984460497
W02000024,14.683798324324039,13.573619044380834,15.80063625272474,2.2270172083439057
W02000025,14.623058677247212,13.535559393586192,15.721734729266094,2.186175335679902
W02000026,14.57733833555121,13.491448961777998,15.688462227464656,2.1970132656866586
W02000027,13.867996469757163,12.982565877780871,14.73030344433173,1.7477375665508585
W02000028,13.674298289170425,12.79571982662759,14.526487761728845,1.7307679351012553
W02000029,14.160716870781147,13.201888548366059,15.11095661986726,1.909068071501201
W02000030,12.811929824546118,11.756743701875635,13.833291389973056,2.0765476880974205
W02000031,14.124564912052312,13.178424592375967,15.046348502894421,1.8679239105184546
W02000032,13.525717760163412,12.65114897908803,14.406571704353775,1.7554227252657455
W02000033,12.565810273690246,11.327681835720025,13.820972183225367,2.493290347505342
W02000034,14.037174869726607,13.137208627919659,14.930686947673024,1.7934783197533655
W02000035,14.140374421101715,13.181329993482144,15.077435398490003,1.8961054050078587
W02000036,14.126359774182049,13.163664987931153,15.067905562934953,1.9042405750038007
W02000037,14.423714314076946,13.378618035555283,15.463499924929415,2.0848818893741328
W02000038,14.525734915583705,13.452968712535624,15.614137846026324,2.1611691334907004
W02000039,14.453867039218494,13.406221189353362,15.515793781763008,2.1095725924096467
W02000040,14.682752066398958,13.573446943164535,15.799972651422507,2.226525708257972
W02000041,14.612423507861227,13.522761889515303,15.71965272916759,2.196890839652287
W02000042,12.689956986333964,11.565219335739911,13.810065045545523,2.2448457098056114
W02000043,14.01257560490211,13.080104197785888,14.926140316120796,1.8460361183349079
W02000044,12.997428152722842,12.004615392957742,13.95144553445346,1.9468301414957185
W02000045,12.657283731649189,11.47472773825517,13.878777823645635,2.4040500853904643
W02000047,12.741638910955048,11.666272119574842,13.826295209093887,2.1600230895190453
W02000049,14.532487329771484,13.470037785761606,15.615726683059297,2.14568889729769
W02000050,14.420135653946737,13.387506324053417,15.466576372259171,2.079070048205754
W02000051,14.430014208210386,13.37799579802468,15.496325982366795,2.118330184342115
W02000052,14.47425302712532,13.421352132061195,15.526138654258352,2.1047865221971573
W02000053,14.581208962822135,13.502604253641083,15.690299553839335,2.1876953001982518
W02000054,14.67209537507573,13.559501867191942,15.781411742307741,2.2219098751157986
W02000055,14.213538800754188,13.24821304438436,15.15487230573363,1.9066592613492688
W02000056,14.643440419796308,13.544836049965209,15.749820687065052,2.2049846370998427
W02000057,14.638970326280154,13.543177384104574,15.747680117119877,2.2045027330153033
W02000058,14.477013774741987,13.42177068596351,15.539674129859826,2.1179034438963154
W02000059,14.57798489882456,13.499597341245009,15.660094780777497,2.160497439532488
W02000060,14.21505428484794,13.242571945714845,15.179343108904751,1.9367711631899063
W02000061,14.19717074389449,13.226559954225587,15.154285076281722,1.9277251220561347
W02000062,14.173348629918353,13.208942435089478,15.117424994909442,1.908482559819964
W02000063,14.592430949510513,13.502786640883611,15.689228310810268,2.1864416699266567
W02000064,14.285897569879166,13.289924485970621,15.238108083929832,1.9481835979592113
W02000065,14.007403900240432,13.106437667222698,14.907535091911807,1.8010974246891092
W02000066,14.394299000663695,13.358649309419297,15.395060105976233,2.036410796556936
W02000067,14.083733092100621,13.15910163744608,14.992474699658379,1.8333730622122992
W02000068,14.344006000761444,13.360472909774783,15.312331468965779,1.9518585591909954
W02000069,14.327286645700536,13.29128786065166,15.325681929708328,2.034394069056667
W02000070,14.048300404642367,13.145097273105053,14.944726151966337,1.7996288788612844
W02000071,13.998063526641848,13.103497108062715,14.887944320902905,1.78444721284019
W02000072,14.192201467734064,13.233933508015289,15.121820600302872,1.887887092287583
W02000073,13.61068058470041,12.742854193768842,14.469794467986775,1.7269402742179327
W02000074,13.553886439658934,12.676750584900093,14.426463718028968,1.7497131331288749
W02000075,14.389528958288933,13.354768660407514,15.409664123839027,2.0548954634315137
W02000076,14.55191254966088,13.482665562228302,15.636343023810744,2.1536774615824417
W02000077,14.469472229908922,13.41660427794383,15.53331245641222,2.116708178468391
W02000080,13.93641367892608,13.038728362982628,14.804543655976373,1.7658152929937447
W02000081,13.678195150496615,12.822128295149128,14.555927697496248,1.7337994023471204
W02000082,13.604305221545292,12.736306421794891,14.48688964356483,1.7505832217699382
W02000083,14.202351569873919,13.23794250033002,15.144103672408113,1.906161172078093
W02000085,12.707902940545628,11.56653651782932,13.881268394647012,2.3147318768176923
W02000087,11.618080548438021,9.952099489912072,13.372348181648784,3.4202486917367114
W02000088,13.468633174852776,12.53118926742602,14.39247948895018,1.8612902215241593
W02000089,12.238695088029086,10.845873098223576,13.70076546687655,2.8548923686529744
W02000090,14.512745434637138,13.438533373428555,15.590950227931655,2.1524168545031
