cell_id,domain_id,age_group,sex,car_access,economic_status,pop_count
W02000001_age_65_plus_sex_male_no_car_access_econ_employed,W02000001,age_65_plus,sex_male,no_car_access,econ_employed,27.8837186272653
W02000001_age_65_plus_sex_male_no_car_access_econ_unemployed,W02000001,age_65_plus,sex_male,no_car_access,econ_unemployed,1.8285737951427259
W02000001_age_65_plus_sex_male_no_car_access_econ_inactive,W02000001,age_65_plus,sex_male,no_car_access,econ_inactive,27.6155278039777
W02000001_age_65_plus_sex_male_car_access_econ_employed,W02000001,age_65_plus,sex_male,car_access,econ_employed,175.79099681774963
W02000001_age_65_plus_sex_male_car_access_econ_unemployed,W02000001,age_65_plus,sex_male,car_access,econ_unemployed,11.528118415620423
W02000001_age_65_plus_sex_male_car_access_econ_inactive,W02000001,age_65_plus,sex_male,car_access,econ_inactive,174.10020611679198
W02000002_age_16_24_sex_female_no_car_access_econ_employed,W02000002,age_16_24,sex_female,no_car_access,econ_employed,3.5351947174241523
W02000002_age_16_24_sex_female_no_car_access_econ_unemployed,W02000002,age_16_24,sex_female,no_car_access,econ_unemployed,0.1754675331080091
W02000002_age_16_24_sex_female_no_car_access_econ_inactive,W02000002,age_16_24,sex_female,no_car_access,econ_inactive,3.7446675864058063
W02000002_age_16_24_sex_female_car_access_econ_employed,W02000002,age_16_24,sex_female,car_access,econ_employed,32.22042521001806
W02000002_age_16_24_sex_female_car_access_econ_unemployed,W02000002,age_16_24,sex_female,car_access,econ_unemployed,1.5992438830674602
W02000002_age_16_24_sex_female_car_access_econ_inactive,W02000002,age_16_24,sex_female,car_access,econ_inactive,34.129600078176104
W02000002_age_16_24_sex_male_no_car_access_econ_employed,W02000002,age_16_24,sex_male,no_car_access,econ_employed,3.3723825566585326
W02000002_age_16_24_sex_male_no_car_access_econ_unemployed,W02000002,age_16_24,sex_male,no_car_access,econ_unemployed,0.16738643701768016
W02000002_age_16_24_sex_male_no_car_access_econ_inactive,W02000002,age_16_24,sex_male,no_car_access,econ_inactive,3.572208225656383
W02000002_age_16_24_sex_male_car_access_econ_employed,W02000002,age_16_24,sex_male,car_access,econ_employed,30.73652475515078
W02000002_age_16_24_sex_male_car_access_econ_unemployed,W02000002,age_16_24,sex_male,car_access,econ_unemployed,1.5255912633376107
W02000002_age_16_24_sex_male_car_access_econ_inactive,W02000002,age_16_24,sex_male,car_access,econ_inactive,32.55777324006544
W02000002_age_25_44_sex_female_no_car_access_econ_employed,W02000002,age_25_44,sex_female,no_car_access,econ_employed,8.2746865363884
W02000002_age_25_44_sex_female_no_car_access_econ_unemployed,W02000002,age_25_44,sex_female,no_car_access,econ_unemployed,0.4107097203517136
W02000002_age_25_44_sex_female_no_car_access_econ_inactive,W02000002,age_25_44,sex_female,no_car_access,econ_inactive,8.764991163785018
W02000002_age_25_44_sex_female_car_access_econ_employed,W02000002,age_25_44,sex_female,car_access,econ_employed,75.41703922784444
W02000002_age_25_44_sex_female_car_access_econ_unemployed,W02000002,age_25_44,sex_female,car_access,econ_unemployed,3.7432851328941648
W02000002_age_25_44_sex_female_car_access_econ_inactive,W02000002,age_25_44,sex_female,car_access,econ_inactive,79.88576721595065
W02000002_age_25_44_sex_male_no_car_access_econ_employed,W02000002,age_25_44,sex_male,no_car_access,econ_employed,7.893598731519423
W02000002_age_25_44_sex_male_no_car_access_econ_unemployed,W02000002,age_25_44,sex_male,no_car_access,econ_unemployed,0.3917946273051195
W02000002_age_25_44_sex_male_no_car_access_econ_inactive,W02000002,age_25_44,sex_male,no_car_access,econ_inactive,8.361322550162743
W02000002_age_25_44_sex_male_car_access_econ_employed,W02000002,age_25_44,sex_male,car_access,econ_employed,71.94373376755073
W02000002_age_25_44_sex_male_car_access_econ_unemployed,W02000002,age_25_44,sex_male,car_access,econ_unemployed,3.5708894405594624
W02000002_age_25_44_sex_male_car_access_econ_inactive,W02000002,age_25_44,sex_male,car_access,econ_inactive,76.2066560454279
W02000002_age_45_64_sex_female_no_car_access_econ_employed,W02000002,age_45_64,sex_female,no_car_access,econ_employed,14.544801123116512
W02000002_age_45_64_sex_female_no_car_access_econ_unemployed,W02000002,age_45_64,sex_female,no_car_access,econ_unemployed,0.7219235647872375
W02000002_age_45_64_sex_female_no_car_access_econ_inactive,W02000002,age_45_64,sex_female,no_car_access,econ_inactive,15.406632355498175
W02000002_age_45_64_sex_female_car_access_econ_employed,W02000002,age_45_64,sex_female,car_access,econ_employed,132.56403514978854
W02000002_age_45_64_sex_female_car_access_econ_unemployed,W02000002,age_45_64,sex_female,car_access,econ_unemployed,6.579746261763264
W02000002_age_45_64_sex_female_car_access_econ_inactive,W02000002,age_45_64,sex_female,car_access,econ_inactive,140.41892603592453
W02000002_age_45_64_sex_male_no_car_access_econ_employed,W02000002,age_45_64,sex_male,no_car_access,econ_employed,13.874945375966538
W02000002_age_45_64_sex_male_no_car_access_econ_unemployed,W02000002,age_45_64,sex_male,no_car_access,econ_unemployed,0.6886756265870271
W02000002_age_45_64_sex_male_no_car_access_econ_inactive,W02000002,age_45_64,sex_male,no_car_access,econ_inactive,14.697085271271979
W02000002_age_45_64_sex_male_car_access_econ_employed,W02000002,age_45_64,sex_male,car_access,econ_employed,126.45884470690609
W02000002_age_45_64_sex_male_car_access_econ_unemployed,W02000002,age_45_64,sex_male,car_access,econ_unemployed,6.276718340589029
W02000002_age_45_64_sex_male_car_access_econ_inactive,W02000002,age_45_64,sex_male,car_access,econ_inactive,133.951981330555
W02000002_age_65_plus_sex_female_no_car_access_econ_employed,W02000002,age_65_plus,sex_female,no_car_access,econ_employed,16.642608977412163
W02000002_age_65_plus_sex_female_no_car_access_econ_unemployed,W02000002,age_65_plus,sex_female,no_car_access,econ_unemployed,0.8260471558623198
W02000002_age_65_plus_sex_female_no_car_access_econ_inactive,W02000002,age_65_plus,sex_female,no_car_access,econ_inactive,17.628742791387335
W02000002_age_65_plus_sex_female_car_access_econ_employed,W02000002,age_65_plus,sex_female,car_access,econ_employed,151.68384791177726
W02000002_age_65_plus_sex_female_car_access_econ_unemployed,W02000002,age_65_plus,sex_female,car_access,econ_unemployed,7.528748126440657
W02000002_age_65_plus_sex_female_car_access_econ_inactive,W02000002,age_65_plus,sex_female,car_access,econ_inactive,160.6716557526444
W02000002_age_65_plus_sex_male_no_car_access_econ_employed,W02000002,age_65_plus,sex_male,no_car_access,econ_employed,15.876139420577092
W02000002_age_65_plus_sex_male_no_car_access_econ_unemployed,W02000002,age_65_plus,sex_male,no_car_access,econ_unemployed,0.7880038419601557
W02000002_age_65_plus_sex_male_no_car_access_econ_inactive,W02000002,age_65_plus,sex_male,no_car_access,econ_inactive,16.81685718539774
W02000002_age_65_plus_sex_male_car_access_econ_employed,W02000002,age_65_plus,sex_male,car_access,econ_employed,144.6981011550175
W02000002_age_65_plus_sex_male_car_access_econ_unemployed,W02000002,age_65_plus,sex_male,car_access,econ_unemployed,7.18201425509706
W02000002_age_65_plus_sex_male_car_access_econ_inactive,W02000002,age_65_plus,sex_male,car_access,econ_inactive,153.27197863784653
W02000003_age_16_24_sex_female_no_car_access_econ_employed,W02000003,age_16_24,sex_female,no_car_access,econ_employed,44.23820187659907
W02000003_age_16_24_sex_female_no_car_access_econ_unemployed,W02000003,age_16_24,sex_female,no_car_access,econ_unemployed,4.503794101613797
W02000003_age_16_24_sex_female_no_car_access_econ_inactive,W02000003,age_16_24,sex_female,no_car_access,econ_inactive,38.72421096714666
W02000003_age_16_24_sex_female_car_access_econ_employed,W02000003,age_16_24,sex_female,car_access,econ_employed,94.1494374135392
W02000003_age_16_24_sex_female_car_access_econ_unemployed,W02000003,age_16_24,sex_female,car_access,econ_unemployed,9.585147291387912
W02000003_age_16_24_sex_female_car_access_econ_inactive,W02000003,age_16_24,sex_female,car_access,econ_inactive,82.41435054277457
W02000003_age_16_24_sex_male_no_car_access_econ_employed,W02000003,age_16_24,sex_male,no_car_access,econ_employed,41.504063237370794
