cell_id,domain_id,age_group,sex,car_access,pop_count
W02000004_age_25_44_sex_male_car_access,W02000004,age_25_44,sex_male,car_access,209.92461634436194
W02000004_age_45_64_sex_female_no_car_access,W02000004,age_45_64,sex_female,no_car_access,39.274645879687505
W02000004_age_45_64_sex_female_car_access,W02000004,age_45_64,sex_female,car_access,372.17992499236993
W02000004_age_45_64_sex_male_no_car_access,W02000004,age_45_64,sex_male,no_car_access,37.45973618099585
W02000004_age_45_64_sex_male_car_access,W02000004,age_45_64,sex_male,car_access,354.9812223587115
W02000004_age_65_plus_sex_female_no_car_access,W02000004,age_65_plus,sex_female,no_car_access,39.99594332467718
W02000004_age_65_plus_sex_female_car_access,W02000004,age_65_plus,sex_female,car_access,379.01518532280835
W02000004_age_65_plus_sex_male_no_car_access,W02000004,age_65_plus,sex_male,no_car_access,38.14770195107842
W02000004_age_65_plus_sex_male_car_access,W02000004,age_65_plus,sex_male,car_access,361.50062038182824
W02000005_age_16_24_sex_female_no_car_access,W02000005,age_16_24,sex_female,no_car_access,12.298420583404566
W02000005_age_16_24_sex_female_car_access,W02000005,age_16_24,sex_female,car_access,98.50421426897908
W02000005_age_16_24_sex_male_no_car_access,W02000005,age_16_24,sex_male,no_car_access,11.37313846875691
W02000005_age_16_24_sex_male_car_access,W02000005,age_16_24,sex_male,car_access,91.09316607279882
W02000005_age_25_44_sex_female_no_car_access,W02000005,age_25_44,sex_female,no_car_access,26.15579588864915
W02000005_age_25_44_sex_female_car_access,W02000005,age_25_44,sex_female,car_access,209.49487823402595
W02000005_age_25_44_sex_male_no_car_access,W02000005,age_25_44,sex_male,no_car_access,24.187942377215403
W02000005_age_25_44_sex_male_car_access,W02000005,age_25_44,sex_male,car_access,193.7333531970792
W02000005_age_45_64_sex_female_no_car_access,W02000005,age_45_64,sex_female,no_car_access,45.248179642541686
W02000005_age_45_64_sex_female_car_access,W02000005,age_45_64,sex_female,car_access,362.41534858586834
W02000005_age_45_64_sex_male_no_car_access,W02000005,age_45_64,sex_male,no_car_access,41.84389442886932
W02000005_age_45_64_sex_male_car_access,W02000005,age_45_64,sex_male,car_access,335.14872212386547
W02000005_age_65_plus_sex_female_no_car_access,W02000005,age_65_plus,sex_female,no_car_access,53.48561940732596
W02000005_age_65_plus_sex_female_car_access,W02000005,age_65_plus,sex_female,car_access,428.39313216509066
W02000005_age_65_plus_sex_male_no_car_access,W02000005,age_65_plus,sex_male,no_car_access,49.46158341889743
W02000005_age_65_plus_sex_male_car_access,W02000005,age_65_plus,sex_male,car_access,396.16261113663217
W02000006_age_16_24_sex_female_no_car_access,W02000006,age_16_24,sex_female,no_car_access,29.791528997752064
W02000006_age_16_24_sex_female_car_access,W02000006,age_16_24,sex_female,car_access,140.71027255435436
W02000006_age_16_24_sex_male_no_car_access,W02000006,age_16_24,sex_male,no_car_access,28.67860318629436
W02000006_age_16_24_sex_male_car_access,W02000006,age_16_24,sex_male,car_access,135.4537416030626
W02000006_age_25_44_sex_female_no_car_access,W02000006,age_25_44,sex_female,no_car_access,65.33870033248479
W02000006_age_25_44_sex_female_car_access,W02000006,age_25_44,sex_female,car_access,308.6053868811146
W02000006_age_25_44_sex_male_no_car_access,W02000006,age_25_44,sex_male,no_car_access,62.89783447116532
W02000006_age_25_44_sex_male_car_access,W02000006,age_25_44,sex_male,car_access,297.0767775022271
W02000006_age_45_64_sex_female_no_car_access,W02000006,age_45_64,sex_female,no_car_access,72.10765998231417
W02000006_age_45_64_sex_female_car_access,W02000006,age_45_64,sex_female,car_access,340.57629234584545
W02000006_age_45_64_sex_male_no_car_access,W02000006,age_45_64,sex_male,no_car_access,69.4139252631533
W02000006_age_45_64_sex_male_car_access,W02000006,age_45_64,sex_male,car_access,327.8533419208822
W02000006_age_65_plus_sex_female_no_car_access,W02000006,age_65_plus,sex_female,no_car_access,62.09608493136893
