area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000001,Isle of Anglesey 001,2021,6,0,0,0,0.11737058845281165,3.9321210256474027e-4,0.08306585679309328,0.1582496339035771,0.07518377711048382
W02000001,Isle of Anglesey 001,2023,9,0.18565260641894785,0.0160569283101873,0.4967173397030637,0.1423024890282931,5.696254820076827e-4,0.10047676894792565,0.19132200202459987,0.09084523307667422
W02000001,Isle of Anglesey 001,2025,22,0.00939999614413936,9.325536415956076e-5,0.037854280668256655,0.13857366224723477,5.157219543832489e-4,0.09940767100808794,0.18306277307204108,0.08365510206395314
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.79047779664215,0.13162184059591264,5.76011299620285e-4,0.08899486268775703,0.1863119837645777,0.09731712107682067
W02000002,Isle of Anglesey 002,2023,8,0.48853585090916113,0.03329906285454524,0.7153096636378984,0.15908618160444515,8.266694385412266e-4,0.10697841562067519,0.22037812952441407,0.11339971390373889
W02000002,Isle of Anglesey 002,2025,26,0.05118071695859134,0.00135952060307236,0.14453431997401464,0.15485555827516126,6.930211933419729e-4,0.10871917207900403,0.21204417121054317,0.10332499913153914
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.4221606309827293,0.17624908431478248,0.0017275512431921811,0.1161651240120405,0.2681009142879772,0.15193579027593673
W02000003,Isle of Anglesey 003,2023,3,0.5456427510644392,0.09405494524933898,1.2021783545846698,0.20985486187606334,0.0022779394865568973,0.13797774432119964,0.32139812780906674,0.1834203834878671
W02000003,Isle of Anglesey 003,2025,24,0.08442708534476404,0.00223073561758146,0.18514080063340824,0.20491075308686785,0.002162549045538506,0.13673711648545733,0.31723389584694506,0.18049677936148772
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.4891400795489484,0.10243302562086508,5.097360296465879e-4,0.06371560834941914,0.151813429911668,0.08809782156224885
W02000004,Isle of Anglesey 004,2023,11,0,0,0,0.12453602406107687,6.867355652056951e-4,0.08141505931932896,0.1831723090434525,0.10175724972412353
W02000004,Isle of Anglesey 004,2025,24,0,0,0,0.12125742167127804,6.56569287849413e-4,0.07910915416330383,0.17666534674162765,0.09755619257832382
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.4912137538186233,0.1367280709302923,5.920069504027355e-4,0.09461986087653125,0.188833983295512,0.09421412241898074
W02000005,Isle of Anglesey 005,2023,10,0.4171105013713594,0.02600708736442021,0.6321555351544893,0.16491394815100774,8.100085677189256e-4,0.11515133919447035,0.2219801071790607,0.10682876798459034
W02000005,Isle of Anglesey 005,2025,20,0.06347735831144721,0.00379139987131602,0.2413669942510408,0.16077753249826757,7.617518884822642e-4,0.1104739993664715,0.2196468846228447,0.10917288525637321
W02000006,Isle of Anglesey 006,2021,19,0.10088047765018358,0.00553827251265835,0.2917193568836955,0.13255895345118676,5.088141748142784e-4,0.09292848691662425,0.18123402456026472,0.08830553764364046
W02000006,Isle of Anglesey 006,2023,5,0,0,0,0.16008397147542364,7.471636450497326e-4,0.10954214841923632,0.21872628390085425,0.10918413548161793
W02000006,Isle of Anglesey 006,2025,28,0.0929604922927978,0.00253699130319121,0.19744110635496503,0.1558354748361654,6.148072359964705e-4,0.10927626370907119,0.20651991113013599,0.0972436474210648
W02000007,Isle of Anglesey 007,2021,13,0.07130340702194102,0.00493823604628872,0.2754634670418963,0.12203086559223539,4.1756283898820975e-4,0.08768245327495922,0.16805499599996276,0.08037254272500355
W02000007,Isle of Anglesey 007,2023,6,0.09184314433287606,0.00845292408699315,0.3603973351435199,0.14797879056593566,6.473340043732294e-4,0.1047211052558091,0.20206288035030032,0.09734177509449121
W02000007,Isle of Anglesey 007,2025,25,0.12266923897140668,0.00520240434255808,0.28273536779495523,0.14400732585479095,5.461272180493147e-4,0.10430656637877439,0.1963483041798874,0.09204173780111302
W02000008,Isle of Anglesey 008,2021,12,0.19842023274990855,0.01220788361272883,0.4331100653927332,0.13833240117134107,8.560210819685371e-4,0.08916652476144704,0.19952715498137413,0.11036063021992709
W02000008,Isle of Anglesey 008,2023,9,0.06211923226941231,0.00386535618315295,0.24370971753212856,0.16664085705150186,0.001140638620289866,0.11093905926863734,0.23351259038772051,0.12257353111908317
W02000008,Isle of Anglesey 008,2025,18,0.07621454543800806,0.00290213188652788,0.21117215852777754,0.1623614262774309,0.0010384717701860066,0.10750794325612671,0.2306865294161468,0.1231785861600201
W02000009,Isle of Anglesey 009,2021,13,0,0,0,0.12568720044526738,4.7054969805440227e-4,0.08891292039546363,0.17327171081984913,0.0843587904243855
W02000009,Isle of Anglesey 009,2023,10,0,0,0,0.15215314936731403,6.924854578761596e-4,0.10767081547833224,0.2101912733782438,0.10252045789991157
W02000009,Isle of Anglesey 009,2025,26,0.1991126105754353,0.00777268370258454,0.3455919233417288,0.14806593881636962,5.717296854210648e-4,0.10605823942913298,0.1985160477258831,0.09245780829675013
W02000010,Gwynedd 001,2021,12,0.09295304405275805,0.00810245734821603,0.35284702775906945,0.2088552566987205,0.001898906513379555,0.13826174625542753,0.314245104937076,0.1759833586816485
W02000010,Gwynedd 001,2023,3,0.8613292132743351,0.02163078010589764,0.576519734393526,0.2462683585508498,0.002424787898511138,0.16669986639341094,0.36528051792712024,0.1985806515337093
W02000010,Gwynedd 001,2025,14,0.11246581789895128,0.0085270076871056,0.36197319731581457,0.24077761968881006,0.002266673492373785,0.16083392074433048,0.3589642872134897,0.19813036646915924
W02000011,Gwynedd 002,2021,18,0.12433733047748036,0.0053721902964639,0.287312010196571,0.14538023722114968,6.382214488589151e-4,0.10052360491997653,0.2005376135775795,0.10001400865760296
W02000011,Gwynedd 002,2023,7,0,0,0,0.174664221344611,8.542752213618946e-4,0.12078922371928442,0.23286132456749156,0.11207210084820714
W02000011,Gwynedd 002,2025,17,0.03567060536421822,6.96335312213858e-4,0.10343971050355316,0.1703171334767436,7.839865532629839e-4,0.11980590151845948,0.22973841791733884,0.10993251639887937
W02000012,Gwynedd 003,2021,13,0,0,0,0.12485582099906972,5.245282195134135e-4,0.08721915251876397,0.17290404292272443,0.08568489040396046
W02000012,Gwynedd 003,2023,5,0.4428703168015301,0.05179742526544381,0.8921382766705703,0.15106782973606614,7.486041075372294e-4,0.10651176124179976,0.20585214170971483,0.09934038046791507
W02000012,Gwynedd 003,2025,15,0.09898799288222276,0.00867530018479925,0.36510715367993785,0.14700926447176763,6.298101089961677e-4,0.10478189737248902,0.19591012261101007,0.09112822523852104
W02000013,Gwynedd 004,2021,15,0.06754144696914653,0.00432395742111153,0.2577619395925993,0.13376590521121323,6.373726439090929e-4,0.09383902043337623,0.18563947455213753,0.0918004541187613
W02000013,Gwynedd 004,2023,7,0.15253095293977811,0.01980468659471703,0.5516480327540683,0.16153026265584172,9.09027228417246e-4,0.11243406750628654,0.22611554986915677,0.11368148236287023
W02000013,Gwynedd 004,2025,8,0.28371651469427717,0.02858407204711903,0.6627353489795507,0.15736356252179254,8.066917897966253e-4,0.11024735879992117,0.21879213606756198,0.10854477726764081
W02000014,Gwynedd 005,2021,5,0,0,0,0.13128095177179674,4.337993037686026e-4,0.09740097269581158,0.17386130527113086,0.07646033257531928
W02000014,Gwynedd 005,2023,6,0.7807750363518592,0.02749290513071423,0.6499626540683362,0.1585665831187616,5.853973888792713e-4,0.11942147013531826,0.21033550943882218,0.09091403930350392
W02000014,Gwynedd 005,2025,17,0.13140501904633856,0.00816703881342107,0.35425043846842386,0.15447051547122784,5.127778214299439e-4,0.11539711589718576,0.2016617748771501,0.08626465897996433
W02000015,Gwynedd 006,2021,15,0.07864534144766384,0.00572050590698416,0.29647993439838144,0.1399394350603087,7.786095607486159e-4,0.09174815170595815,0.20059633425425843,0.10884818254830028
W02000015,Gwynedd 006,2023,3,0.4101724213071303,0.09035637635772605,1.1783043731826588,0.1683436620689483,0.0010168419603229072,0.11331311981188123,0.23484703079734837,0.12153391098546713
W02000015,Gwynedd 006,2025,8,0,0,0,0.16411099475585186,9.410648155392336e-4,0.11198757794975175,0.2279908993587727,0.11600332140902095
W02000016,Gwynedd 007,2021,4,0,0,0,0.1312841213530611,5.44734243560935e-4,0.09055948462130162,0.18131984546173974,0.09076036084043812
