domain_id,domain_size,work_from_home,commuter_total
W02000258,2189,328,1861
W02000259,2204,284,1920
W02000260,2117,294,1823
W02000261,3199,571,2628
W02000262,2283,390,1893
W02000263,2758,511,2247
W02000264,2231,308,1923
W02000265,3830,548,3282
W02000266,3177,659,2518
W02000267,2706,364,2342
W02000268,3933,792,3141
W02000269,3455,533,2922
W02000270,3144,811,2333
W02000271,2190,366,1824
W02000272,4584,1289,3295
W02000273,3914,824,3090
W02000274,4754,894,3860
W02000275,2708,507,2201
W02000276,2707,745,1962
W02000277,3281,994,2287
W02000278,4571,1527,3044
W02000279,3697,848,2849
W02000280,4764,1357,3407
W02000281,3472,1070,2402
W02000282,5600,1927,3673
W02000284,4237,634,3603
W02000285,3832,844,2988
W02000286,2715,466,2249
W02000287,3988,812,3176
W02000288,3414,571,2843
W02000289,3994,869,3125
W02000290,3330,522,2808
W02000291,2933,397,2536
W02000292,2353,414,1939
W02000293,2397,477,1920
W02000294,2390,624,1766
W02000295,4410,936,3474
W02000296,3081,549,2532
W02000297,3306,743,2563
W02000298,3292,886,2406
W02000299,2633,588,2045
W02000300,3587,795,2792
W02000301,3683,908,2775
W02000302,4528,1208,3320
W02000303,3445,921,2524
W02000304,2573,527,2046
W02000305,2787,567,2220
W02000306,2293,504,1789
W02000307,2805,553,2252
W02000308,3797,910,2887
W02000309,2986,794,2192
W02000310,2256,740,1516
W02000311,4131,1046,3085
W02000312,3193,887,2306
W02000313,5255,1977,3278
W02000314,2716,365,2351
W02000315,2300,300,2000
W02000316,2778,427,2351
W02000317,3435,479,2956
W02000318,3813,457,3356
W02000319,3517,537,2980
W02000320,3704,516,3188
W02000321,3698,526,3172
W02000322,2838,428,2410
W02000323,2527,409,2118
W02000324,2970,483,2487
W02000325,2929,476,2453
W02000326,3910,821,3089
W02000327,2525,632,1893
W02000328,3612,791,2821
W02000329,3769,907,2862
W02000330,3091,689,2402
W02000331,2575,436,2139
W02000332,3217,615,2602
W02000333,2888,698,2190
W02000334,3086,892,2194
W02000335,3558,1203,2355
W02000336,3882,1373,2509
W02000337,3122,667,2455
W02000338,3718,1148,2570
W02000339,4768,1322,3446
W02000340,3381,1546,1835
W02000341,3797,1547,2250
W02000342,4404,2039,2365
W02000343,4014,1025,2989
W02000344,4156,1688,2468
W02000345,3505,784,2721
W02000346,4079,1569,2510
W02000347,3650,1358,2292
W02000348,3367,848,2519
W02000349,3306,506,2800
W02000350,5036,1808,3228
W02000351,2627,616,2011
W02000352,3016,777,2239
W02000353,3634,958,2676
W02000354,2568,646,1922
W02000355,4943,2020,2923
W02000356,1949,231,1718
W02000357,3906,874,3032
W02000358,3107,1348,1759
W02000359,5556,1141,4415
W02000360,3084,898,2186
W02000361,5166,968,4198
W02000362,3482,1357,2125
W02000363,2553,628,1925
W02000364,3646,708,2938
W02000365,3745,927,2818
W02000366,4441,1772,2669
W02000367,2863,1291,1572
W02000368,2964,1222,1742
W02000369,5577,2267,3310
W02000370,2930,1216,1714
W02000371,4147,1451,2696
W02000372,4004,1857,2147
W02000373,2825,639,2186
W02000374,2537,1129,1408
W02000375,3063,711,2352
W02000376,3098,1246,1852
W02000377,3795,1212,2583
W02000378,3490,1493,1997
W02000379,2196,442,1754
W02000380,3785,1578,2207
W02000381,2834,571,2263
W02000382,2135,448,1687
W02000383,3035,688,2347
W02000384,2800,1218,1582
W02000385,2763,1164,1599
W02000386,3445,1516,1929
W02000387,2748,1147,1601
W02000388,2711,788,1923
W02000389,3820,1236,2584
W02000390,2551,1017,1534
W02000391,3545,1204,2341
W02000392,4106,1905,2201
W02000393,2973,815,2158
W02000394,3392,1102,2290
W02000395,3311,1557,1754
W02000396,3876,1609,2267
W02000397,2884,787,2097
W02000398,3114,1101,2013
W02000399,4908,1933,2975
W02000400,3794,1927,1867
W02000401,3087,1446,1641
W02000402,4444,1367,3077
W02000403,3393,901,2492
W02000404,2902,1080,1822
W02000405,2389,370,2019
W02000406,5270,2272,2998
W02000407,2412,441,1971
W02000408,3105,872,2233
W02000409,2384,601,1783
W02000410,3683,1030,2653
W02000411,2617,488,2129
W02000412,2945,967,1978
W02000414,3006,1353,1653
W02000415,3454,470,2984
W02000416,4418,942,3476
W02000417,4330,886,3444
W02000418,5610,1786,3824
W02000419,4900,758,4142
W02000421,5262,1847,3415
W02000422,5026,2509,2517
W02000423,4747,2015,2732
W02000424,3099,882,2217
W02000425,3485,1191,2294
W02000426,4416,738,3678
W02000427,4469,794,3675
W02000428,4574,1584,2990
