area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,bhf_estimate,bhf_variance,bhf_ci_width,fh_estimate,fh_variance,fh_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width,mrp_minus_bhf
W02000001,Isle of Anglesey 001,2021,6,0,0,0,0.11868888532957476,0.00104778371665297,0.1279740924165547,0.01828374231121682,1.4607697773141376e-4,0.04740070336482951,0.12553143411877332,0.001144091735501986,0.07164915325566087,0.20878908785602385,0.13713993460036297,0.006842548789198558
W02000001,Isle of Anglesey 001,2023,9,0.18565260641894785,0.0160569283101873,0.4967173397030637,0.15053534511679512,0.00107294211893586,0.12941156519039176,0.07503237455856471,1.973997089756551e-4,0.05507469142110341,0.15158491107290573,0.0015381785086688263,0.0876500249947556,0.24221870795793243,0.15456868296317683,0.0010495659561106097
W02000001,Isle of Anglesey 001,2025,22,0.00939999614413936,9.325536415956076e-5,0.037854280668256655,0.15053398065571677,0.00203685372882552,0.1797270230060573,0.01320645331762264,8.887666776852988e-5,0.03697271991724242,0.1534697072867676,0.0024013735900384626,0.07585632976504023,0.2708287003566019,0.19497237059156167,0.0029357266310508223
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.79047779664215,0.14965585655782596,0.00109805659216646,0.13004829761365672,0.08754898563943668,8.290460671876149e-4,0.11297142883311108,0.16475661313246684,0.001803873373070619,0.0964094243797364,0.27204414442020597,0.17563472004046957,0.015100756574640883
W02000002,Isle of Anglesey 002,2023,8,0.48853585090916113,0.03329906285454524,0.7153096636378984,0.18150274872839875,0.0011236436502993,0.13171123847735922,0.14429723293194924,8.757311139850449e-4,0.11610358918921364,0.19655228764885121,0.0023996122009365467,0.11713979848560527,0.31561524939629415,0.19847545091068888,0.015049538920452465
W02000002,Isle of Anglesey 002,2025,26,0.05118071695859134,0.00135952060307236,0.14453431997401464,0.1815013881781218,0.00209019727946543,0.18208259520391343,0.08247202577116444,7.87921158534738e-4,0.11013466984095484,0.19794497366363648,0.0036462549071239413,0.09883884003750916,0.33123748676161635,0.2323986467241072,0.016443585485514667
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.4221606309827293,0.170589930288191,0.00258139213265479,0.20016743019375077,0.10997244657692304,0.00110775826500175,0.1306392227637406,0.15959336535657104,0.0028236035408240965,0.08363857347903458,0.28112129426119425,0.19748272078215967,-0.010996564931619962
W02000003,Isle of Anglesey 003,2023,3,0.5456427510644392,0.09405494524933898,1.2021783545846698,0.2024367587811203,0.00262204116117308,0.2018103021756394,0.16672058244799057,0.00116453652743561,0.13393822914827408,0.19242438901364464,0.0037512074275029353,0.09973160797360624,0.33701801378393564,0.2372864058103294,-0.01001236976747566
W02000003,Isle of Anglesey 003,2025,24,0.08442708534476404,0.00223073561758146,0.18514080063340824,0.20243908845760125,0.00359595721965935,0.23752135781391173,0.10489554743847794,0.00108041986846062,0.12901945318483848,0.19432503716209848,0.005048268027542171,0.09221669839700593,0.3418390758735496,0.2496223774765437,-0.008114051295502772
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.4891400795489484,0.09453792339240796,0.00120807441871779,0.13668413115282269,0.08946367310299717,0.00190503667552445,0.17154843484555343,0.10443236011786206,9.249504604304337e-4,0.05039205355954393,0.15892475148476876,0.10853269792522482,0.009894436725454092
W02000004,Isle of Anglesey 004,2023,11,0,0,0,0.12638467615133636,0.0012391706021129,0.13833014757404377,0.14621148777012188,0.00195869783153848,0.1739362462244551,0.12777046857220833,0.0012603338122601287,0.0629766583382511,0.20035769104938395,0.13738103271113283,0.001385792420871973
W02000004,Isle of Anglesey 004,2025,24,0,0,0,0.12638830865639453,0.00220601340759221,0.18632582407196532,0.0843873070156539,0.0018933422134355,0.17102797723173885,0.1287309877491621,0.0017621586252294648,0.057114498370694614,0.21515830837224995,0.15804381000155532,0.0023426790927675856
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.4912137538186233,0.15703838210688692,0.00121175286206983,0.13645675164965804,0.11044456466092575,0.00125657003280292,0.13914459136915894,0.16696933971251632,0.0016073587295100144,0.1029568019244266,0.25446707851425054,0.15151027658982394,0.009930957605629398
W02000005,Isle of Anglesey 005,2023,10,0.4171105013713594,0.02600708736442021,0.6321555351544893,0.18888532854651033,0.00123735627870355,0.13802658013850444,0.16719259088345595,0.0012981144202918,0.14142197014997215,0.19943227948601297,0.00215244723899931,0.1239418618824854,0.29991227956508626,0.17597041768260085,0.010546950939502642
