area_id,time_id,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000001,2021,0.023763075940932944,7.774105859664787e-5,0.01105561174885504,0.04329991158536908,0.03224429983651404
W02000002,2021,0.018414602983567733,3.55177654773454e-5,0.008296264497250749,0.030984576443579513,0.022688311946328765
W02000003,2021,0.04299439280832661,3.589054814590762e-4,0.016928924381493498,0.09316193354409416,0.07623300916260066
W02000004,2021,0.0299304679544861,1.1600608669261983e-4,0.014264074858003786,0.05523001541793699,0.0409659405599332
W02000005,2021,0.018280146940433877,4.017754326325518e-5,0.007928537781377656,0.033046147208707494,0.025117609427329837
W02000006,2021,0.025095556431324745,5.912327912815446e-5,0.013372753985544607,0.04107857760668236,0.027705823621137757
W02000007,2021,0.027381224644966323,6.172707071140349e-5,0.014651760229024598,0.04576911998870625,0.031117359759681655
W02000008,2021,0.020257065605860068,7.587853990008005e-5,0.008468761321549282,0.040730325652448,0.03226156433089872
W02000009,2021,0.021865828463398344,4.104147918851403e-5,0.01139236146423916,0.03543124803156434,0.024038886567325182
W02000010,2021,0.03266740269377946,2.544279143665678e-4,0.010080785154880745,0.06850029313327523,0.058419507978394486
W02000011,2021,0.02549375210146998,8.089918414976378e-5,0.010898470728124873,0.04337671726355426,0.032478246535429384
W02000012,2021,0.023071095335188276,5.9395412308447905e-5,0.012042214461991902,0.039350683001735054,0.027308468539743152
W02000013,2021,0.02320783694697316,6.674485170483884e-5,0.009916692596145155,0.042319503316409185,0.03240281072026403
W02000014,2021,0.02398593783565552,5.873989292454614e-5,0.011913398320165067,0.04291748726452371,0.031004088944358646
W02000015,2021,0.023981727388937092,7.864406032409504e-5,0.011680786737656094,0.047045872172939526,0.03536508543528343
W02000016,2021,0.022116151387721033,5.572552780000957e-5,0.010718153692750568,0.04060812100357422,0.029889967310823655
W02000017,2021,0.023600544681208584,5.9536956883194616e-5,0.011556583841266297,0.043718990644356595,0.0321624068030903
W02000018,2021,0.02426827738037212,6.188866760565271e-5,0.012764985162569749,0.04073833853471265,0.0279733533721429
W02000019,2021,0.020986655794929917,4.094421202083226e-5,0.009640209468280612,0.03681596292907791,0.0271757534607973
