area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,bhf_estimate,bhf_variance,bhf_ci_width,fh_estimate,fh_variance,fh_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width,mrp_minus_bhf
W02000001,Isle of Anglesey 001,2021,6,0,0,0,0.11863148242813776,0.00104574115908739,0.12784795601738477,0.01828476812922415,1.460748865693287e-4,0.04740036512440247,0.12034320230462059,9.031647013477051e-4,0.07161271524958127,0.18634459564422667,0.11473188039464541,0.0017117198764828312
W02000001,Isle of Anglesey 001,2023,9,0.18565260641894785,0.0160569283101873,0.4967173397030637,0.15053473222339137,0.00107166712071827,0.12933957168561735,0.07502108052261498,1.9737777375178605e-4,0.05507152988200899,0.1468626908709015,0.001211388095995699,0.0871052799745454,0.21917687941277147,0.13207159943822608,-0.0036720413524898576
W02000001,Isle of Anglesey 001,2025,22,0.00939999614413936,9.325536415956076e-5,0.037854280668256655,0.1505335215136828,0.0020406736855499,0.1799304360949539,0.01320636928234907,8.887673914271381e-5,0.03697273477129931,0.14918057648353686,0.0018504164225085105,0.07779912186433827,0.24205475787528205,0.16425563601094378,-0.0013529450301459356
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.79047779664215,0.14958903680762778,0.00109687175783645,0.12998236339831917,0.08755011120901235,8.2905235816813e-4,0.11297185618030171,0.1590760719081959,0.0016031560352842795,0.09646087026433642,0.24806992898355135,0.15160905871921493,0.009487035100568114
W02000002,Isle of Anglesey 002,2023,8,0.48853585090916113,0.03329906285454524,0.7153096636378984,0.18149274896608067,0.00112313443145577,0.13168432119292672,0.144286028618842,8.757198182575039e-4,0.11610282949200527,0.19156552401527946,0.002010667859211742,0.11427906745376733,0.2950813884723491,0.1808023210185818,0.01007277504919879
W02000002,Isle of Anglesey 002,2025,26,0.05118071695859134,0.00135952060307236,0.14453431997401464,0.18149159313055135,0.00209480598775777,0.1823107773460697,0.08247204147178003,7.879289182881515e-4,0.11013521042594224,0.1930439605376811,0.0025623315565130446,0.10608676973685818,0.30414990191931957,0.19806313218246138,0.011552367407129754
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.4221606309827293,0.17055570838723808,0.00258587523785837,0.20030824706170303,0.10997326533164906,0.00110764697352816,0.1306326493306579,0.16171515227521957,0.003499703993238525,0.07841650151132656,0.3058354305032123,0.22741892899188576,-0.008840556112018505
W02000003,Isle of Anglesey 003,2023,3,0.5456427510644392,0.09405494524933898,1.2021783545846698,0.20245900848009132,0.00262663374425004,0.20195192293908865,0.16670907115925795,0.00116440575348265,0.13393069606839456,0.19644026236370146,0.004630185510655131,0.0961640621798519,0.361366016699203,0.2652019545193511,-0.0060187461163898615
W02000003,Isle of Anglesey 003,2025,24,0.08442708534476404,0.00223073561758146,0.18514080063340824,0.20246137346984863,0.00360558072014844,0.237781495984753,0.10489525631355884,0.00108030915492883,0.1290128313894064,0.19865031180965936,0.005435489398406491,0.09181478812685168,0.36100953982749173,0.26919475170064006,-0.003811061660189269
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.4891400795489484,0.09450124527579117,0.00120762603891181,0.13665870434672864,0.0894649562300664,0.00190498334150531,0.17154599873587717,0.10294931438435227,9.74540524092103e-4,0.053765200956811365,0.16620625615903672,0.11244105520222536,0.008448069108561107
W02000004,Isle of Anglesey 004,2023,11,0,0,0,0.1264046742699214,0.00123923258953604,0.13833792080879503,0.14620044024667248,0.00195862566564125,0.17393304592299114,0.12724251305102868,0.0014069867843415278,0.06704453206186026,0.2005894804145418,0.13354494835268155,8.378387811072696e-4
W02000004,Isle of Anglesey 004,2025,24,0,0,0,0.12640844577109184,0.00221117351395138,0.18655864232433916,0.08438748027186835,0.00189328915384719,0.1710255467824645,0.12844890653398097,0.0017269322797167739,0.060629425216820104,0.21204299055526052,0.15141356533844041,0.0020404607628891347
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.4912137538186233,0.15701639092615305,0.00121204607258219,0.13647594443531463,0.11044526870295296,0.00125655309815313,0.13914364479441538,0.1712767229813492,0.001685999033818604,0.10734042462696734,0.2637700296317849,0.15642960500481756,0.01426033205519614
W02000005,Isle of Anglesey 005,2023,10,0.4171105013713594,0.02600708736442021,0.6321555351544893,0.18891999585935695,0.0012374055037921,0.13802735478785125,0.16718096435269,0.00129808508447354,0.1414203866029042,0.20608338070869375,0.002276117926392976,0.12792646853785516,0.31678882602150105,0.18886235748364588,0.0171633848493368
W02000005,Isle of Anglesey 005,2025,20,0.06347735831144721,0.00379139987131602,0.2413669942510408,0.1889152934368944,0.00220959233540967,0.1866146198756257,0.1053674357185674,0.00123201664368842,0.13777932348010508,0.20716997044388968,0.0034822880004045354,0.11366599944734959,0.345178418532502,0.23151241908515238,0.01825467700699529
W02000006,Isle of Anglesey 006,2021,19,0.10088047765018358,0.00553827251265835,0.2917193568836955,0.12061837276800635,9.732410824750284e-4,0.12309797914133427,0.09407278126542828,9.67408480932427e-4,0.1220568119588471,0.12004481352101563,0.0010374214212070555,0.06949943042893195,0.19729871859510606,0.1277992881661741,-5.735592469907208e-4
W02000006,Isle of Anglesey 006,2023,5,0,0,0,0.15252160040683255,0.00101168022067833,0.1254202450558829,0.15080861178794652,0.00102812582585665,0.12582412311199506,0.1482121500527258,0.0015381748778242569,0.08474482352382634,0.2335224174226479,0.14877759389882156,-0.004309450354106736
W02000006,Isle of Anglesey 006,2025,28,0.0929604922927978,0.00253699130319121,0.19744110635496503,0.15252083775391426,0.00197970979079216,0.17703669631400223,0.08899481214461516,9.472024458595744e-4,0.12077701204467747,0.15096576910186404,0.0023251635133679197,0.08166719662826115,0.26213989826157824,0.18047270163331708,-0.0015550686520502122
W02000007,Isle of Anglesey 007,2021,13,0.07130340702194102,0.00493823604628872,0.2754634670418963,0.11222895986327525,0.00100541673007517,0.12511945735781457,0.08752968386166239,0.00102822048168912,0.12584692442055462,0.11493258530860304,9.021586380427481e-4,0.06641058234467848,0.18030561461450004,0.11389503226982156,0.0027036254453277897
W02000007,Isle of Anglesey 007,2023,6,0.09184314433287606,0.00845292408699315,0.3603973351435199,0.14413211655625666,0.00104097165606457,0.1272158403435679,0.1442654818183188,0.00107264422234554,0.12853069088574104,0.14151105418370696,0.0012583327627242276,0.08271735666739825,0.21477995930420057,0.1320626026368023,-0.002621062372549693
W02000007,Isle of Anglesey 007,2025,25,0.12266923897140668,0.00520240434255808,0.28273536779495523,0.14413156443465738,0.00200964135348189,0.17838182126405533,0.08245176014383615,0.00101629948457935,0.12511820072805965,0.14248632335002306,0.0016993496967934963,0.0806108105652764,0.2342499664942555,0.1536391559289791,-0.001645241084634319
W02000008,Isle of Anglesey 008,2021,12,0.19842023274990855,0.01220788361272883,0.4331100653927332,0.14521716506879156,0.00152633421266627,0.15404166602636332,0.07982768875399321,9.403702847107752e-4,0.120320365850919,0.15409817220874955,0.0019139077011180031,0.08817542249498003,0.25888843153181834,0.1707130090368383,0.008881007139957986
W02000008,Isle of Anglesey 008,2023,9,0.06211923226941231,0.00386535618315295,0.24370971753212856,0.1771204668298852,0.00154977950136871,0.15526696168275758,0.13656358557795625,9.52903291830374e-4,0.12111345970856592,0.1866219382902398,0.002727381027660286,0.10804061724108194,0.3173916918316657,0.20935107459058377,0.009501471460354599
W02000008,Isle of Anglesey 008,2025,18,0.07621454543800806,0.00290213188652788,0.21117215852777754,0.17711993828133749,0.002524078995195,0.1994646788016703,0.07474963169151459,9.118041605192658e-4,0.11848127653765042,0.18788326454908927,0.0035969990137581687,0.10273954551300948,0.327895258378087,0.2251557128650775,0.010763326267751783
W02000009,Isle of Anglesey 009,2021,13,0,0,0,0.10406393585855928,9.209489490229708e-4,0.11945990185246316,0.11008648214915016,0.00164483760461446,0.15933650385992987,0.10933002078407963,7.706084166621245e-4,0.06303892333776098,0.1781704545508906,0.1151315312131296,0.005266084925520359
