area_id,msoa_name,time_id,n,direct_estimate,variance,bhf_estimate,bhf_variance,bhf_lower,bhf_upper,bhf_ci_width
W02000001,Isle of Anglesey 001,2021,6,0,0,0.10562547764060884,6.554384320298888e-4,0.05364554661463113,0.15480295340539738,0.10115740679076624
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.13051221130490887,6.292826726795389e-4,0.08221371047752422,0.1813949485845046,0.09918123810698039
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.1639883721782675,0.0013799245100421242,0.092532960049868,0.23874754476100576,0.14621458471113777
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.08698051167277032,7.839350220457467e-4,0.0295303415213041,0.13960695712200247,0.11007661560069837
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.13684421368966632,7.379513252645971e-4,0.08435229174531386,0.19148175785881105,0.10712946611349719
W02000006,Isle of Anglesey 006,2021,19,0.10088047765018358,0.00553827251265835,0.11919436650753616,5.910184299178292e-4,0.07068106130273721,0.1667668979107505,0.09608583660801329
W02000007,Isle of Anglesey 007,2021,13,0.07130340702194102,0.00493823604628872,0.10770240019992619,6.186009118807986e-4,0.05791283269162498,0.15624693456577463,0.09833410187414965
W02000008,Isle of Anglesey 008,2021,12,0.19842023274990855,0.01220788361272883,0.1349481732458023,9.437818423434462e-4,0.07504116490700649,0.19624485457124208,0.12120368966423559
W02000009,Isle of Anglesey 009,2021,13,0,0,0.11391114645497649,5.489570456104972e-4,0.06662059805688894,0.15933839346152268,0.09271779540463373
W02000010,Gwynedd 001,2021,12,0.09295304405275805,0.00810245734821603,0.14448596179372425,0.0012298039341136317,0.07624542229524063,0.21466439352589956,0.13841897123065894
W02000011,Gwynedd 002,2021,18,0.12433733047748036,0.0053721902964639,0.1188392152887964,6.885836969905447e-4,0.06702040052282335,0.1705892532506721,0.10356885272784874
W02000012,Gwynedd 003,2021,13,0,0,0.10198661904549945,5.836540446343233e-4,0.05346807957245806,0.14902690397791477,0.09555882440545671
W02000013,Gwynedd 004,2021,15,0.06754144696914653,0.00432395742111153,0.11603138968069715,7.419226362373309e-4,0.06321239749342088,0.17083133986248933,0.10761894236906845
W02000014,Gwynedd 005,2021,5,0,0,0.11581312542141062,5.483934844806009e-4,0.07127265054078846,0.16429286833351395,0.09302021779272548
W02000015,Gwynedd 006,2021,15,0.07864534144766384,0.00572050590698416,0.12028268472399659,9.04552762765373e-4,0.060533051178305784,0.17937823923316876,0.11884518805486297
W02000016,Gwynedd 007,2021,4,0,0,0.11808954556240549,6.244379763648226e-4,0.06929536194412966,0.16823689853226553,0.09894153658813587
W02000017,Gwynedd 008,2021,7,0.29622405171495725,0.05123598044056675,0.1142518352613865,6.963260956855226e-4,0.06242668609303895,0.16676740318556404,0.1043407170925251
W02000018,Gwynedd 009,2021,9,0.16517724306715606,0.02220608790766266,0.11854060573114505,5.101937622659369e-4,0.07464154640467857,0.16431552152914825,0.08967397512446967
W02000019,Gwynedd 010,2021,9,0.14870638382979637,0.01897832148608475,0.11809215571741827,4.926726283330917e-4,0.07536079003957338,0.1635143868484144,0.08815359680884102
W02000020,Gwynedd 011,2021,10,0.09952226276588916,0.00931368695508842,0.11155563531079529,6.952471902969807e-4,0.05963160798194149,0.16372954350691826,0.10409793552497677
W02000021,Gwynedd 012,2021,15,0.04884539924695608,0.00236761286709421,0.12431198452104399,0.0010401151681904888,0.06176513762780089,0.1888941766499267,0.1271290390221258
W02000022,Gwynedd 013,2021,15,0.0212344945063327,4.957953341325928e-4,0.10810548832813822,6.143898717830901e-4,0.05867118864793983,0.1567076731013897,0.09803648445344987
W02000023,Gwynedd 014,2021,13,0,0,0.08454144165293044,0.0014741274522085369,0.007252085853573162,0.1585144450649045,0.15126235921133135
W02000024,Gwynedd 015,2021,6,0,0,0.10503558190961142,4.2771697595361287e-4,0.06203072534773356,0.14474861683991874,0.08271789149218518
W02000025,Gwynedd 016,2021,12,0,0,0.11530177314672414,5.80122927857708e-4,0.0673660567341217,0.16288199771431336,0.09551594098019166
W02000026,Gwynedd 017,2021,11,0,0,0.11163872711088295,6.027988409702222e-4,0.06230558784892715,0.1595864548547899,0.09728086700586275
W02000027,Conwy 001,2021,6,0,0,0.12925488518703332,0.0013452390224932588,0.057047038766755154,0.20184952195346695,0.1448024831867118
W02000028,Conwy 002,2021,11,0.08536254482339001,0.00687076517368526,0.11900515534542024,8.4970121142788e-4,0.06199708426609171,0.17704075440975547,0.11504367014366376
W02000029,Conwy 003,2021,13,0.04888062877624214,0.00236765824355765,0.09403247062221938,6.742491417693949e-4,0.04207907153326795,0.14461095601029483,0.10253188447702688
W02000030,Conwy 004,2021,9,0.29301465708004104,0.0284234309485235,0.11092118870595015,8.435932443814164e-4,0.05354692336796751,0.16827243512375045,0.11472551175578294
W02000031,Conwy 005,2021,10,0.16280358842584405,0.02119865250217118,0.12211731755405626,8.371081808081823e-4,0.0666110409610739,0.18104129023510493,0.11443024927403103
W02000032,Conwy 006,2021,9,0,0,0.0917073713355335,7.768064706929149e-4,0.035265431938865915,0.14528267753793886,0.11001724559907294
W02000033,Conwy 007,2021,12,0,0,0.11934431968110275,6.726703512240621e-4,0.06832856304871451,0.17078834492091058,0.10245978187219607
W02000034,Conwy 008,2021,9,0,0,0.0912803027180482,6.075385787149522e-4,0.04050289466516577,0.1378826632948853,0.09737976862971953
W02000035,Conwy 009,2021,8,0.17850345132662307,0.0264125301482222,0.10044586102210444,5.950822140323599e-4,0.05170964207015202,0.14827273858542525,0.09656309651527323
W02000036,Conwy 010,2021,9,0,0,0.10453764847773307,5.69037560991562e-4,0.056210303212812986,0.15057238219941438,0.0943620789866014
W02000037,Conwy 011,2021,9,0.18730064894195425,0.02642139122380393,0.09723025893950955,5.6287464800143e-4,0.04970418604637842,0.14377769111198227,0.09407350506560386
W02000038,Conwy 012,2021,4,0,0,0.09470140449960829,7.344359360156612e-4,0.03985260214530274,0.14685989307366903,0.10700729092836629
W02000039,Conwy 013,2021,4,0,0,0.09457773656215825,9.316436958035825e-4,0.032524293864320514,0.15294278412873258,0.12041849026441206
W02000040,Conwy 014,2021,9,0,0,0.08725074966688429,4.409343092586183e-4,0.043301006638770304,0.12697533612138098,0.08367432948261068
W02000041,Conwy 015,2021,5,0,0,0.09951471396265618,4.6134441712536797e-4,0.055184888938929276,0.1407458735510066,0.08556098461207731
W02000042,Denbighshire 001,2021,6,0.08310723454801548,0.00776025183408073,0.12121480680673519,8.875298724164739e-4,0.06306461586530718,0.1807346318998833,0.11767001603457614
W02000043,Denbighshire 002,2021,6,0.09760301676463667,0.00939359001374457,0.10608335061261819,7.831227378212683e-4,0.049209995705400814,0.15971580841846342,0.1105058127130626
W02000044,Denbighshire 003,2021,5,0,0,0.10227686830585303,7.553236929859678e-4,0.04706627775783147,0.1557171198903055,0.10865084213247404
W02000045,Denbighshire 004,2021,2,0.5055304661328172,0.1252931707786196,0.141172216377706,7.992230674335951e-4,0.08637878157089464,0.19815552158008942,0.11177674000919478
W02000047,Denbighshire 006,2021,7,0.7664673715912351,0.01979925801996805,0.1376861907213354,8.707966691413467e-4,0.0801292179703244,0.1966776929918195,0.1165484750214951
W02000049,Denbighshire 008,2021,6,0.39874769738438265,0.04553724994701191,0.10072313728449363,5.203803767801843e-4,0.05477581108403906,0.14535630540792102,0.09058049432388196
W02000050,Denbighshire 009,2021,6,0.11995833006885533,0.01374006697519294,0.10734933236816863,5.460198080213929e-4,0.060303633613951725,0.15302349873779478,0.09271986512384306
W02000051,Denbighshire 010,2021,10,0.2317161438545716,0.02065744504654773,0.0946654927819069,5.225491050586013e-4,0.04777917315202871,0.13830242590315586,0.09052325275112716
W02000052,Denbighshire 011,2021,6,0.12311978967183251,0.01410254943464735,0.11235183178396045,6.774158474141655e-4,0.06055957423118913,0.1637079424588048,0.10314836822761567
W02000053,Denbighshire 012,2021,5,0,0,0.09147117206510424,5.428396424580744e-4,0.04358136598421023,0.1359788656330611,0.09239749964885088
W02000054,Denbighshire 013,2021,7,0.2460556360699084,0.03068042426516305,0.10241502753252019,4.381121247437146e-4,0.06252006604296095,0.14646010579799007,0.08394003975502912
